word,regional
cheese pattie,"[0.013309049172268272, 0.9866909508277317]"
hamburger supper,"[0.0186291426474251, 0.9813708573525749]"
pizza crunch,"[0.022596261386979788, 0.9774037386130202]"
potato pie,"[0.023568146763607967, 0.976431853236392]"
inferno,"[0.03220485137533258, 0.9677951486246674]"
naan,"[0.03268870363025178, 0.9673112963697482]"
pineapple ring,"[0.034481232740873224, 0.9655187672591268]"
pudding supper,"[0.03671211066273117, 0.9632878893372688]"
pizza supper,"[0.037933276927266446, 0.9620667230727336]"
macaroni cheese,"[0.038477080449522916, 0.9615229195504771]"
diet bru,"[0.041033740318725975, 0.958966259681274]"
chip shop takeaway order,"[0.049003760243348515, 0.9509962397566515]"
diet coke ltr,"[0.05278428446365713, 0.9472157155363429]"
hamburger,"[0.05353617178504022, 0.9464638282149598]"
pattie,"[0.06093147368861507, 0.9390685263113849]"
chip roll,"[0.06283895877899259, 0.9371610412210074]"
dandelion,"[0.06420796357829794, 0.9357920364217021]"
chicken meat,"[0.06710259810974517, 0.9328974018902548]"
suey roll,"[0.07105552105199131, 0.9289444789480087]"
king rib,"[0.07476984265165865, 0.9252301573483414]"
bit,"[0.07763404564334098, 0.922365954356659]"
pollo,"[0.08065191355388068, 0.9193480864461193]"
pie supper,"[0.08337077826346695, 0.916629221736533]"
shot,"[0.09245513281940321, 0.9075448671805968]"
burdock,"[0.11106739501985041, 0.8889326049801496]"
cheese tomato,"[0.1334193658886207, 0.8665806341113793]"
beef onion pie,"[0.1360885812031546, 0.8639114187968454]"
haggis,"[0.14537848581225887, 0.8546215141877411]"
funghi,"[0.15603603785303422, 0.8439639621469658]"
chicken breast supper,"[0.16533691272400008, 0.8346630872759999]"
pasty,"[0.16887846051290278, 0.8311215394870972]"
supper,"[0.1828044881275689, 0.8171955118724311]"
fish chips,"[0.19210831009980167, 0.8078916899001983]"
cheeseburger half pounder,"[0.20097439977528253, 0.7990256002247175]"
cheeseburger quarter pounder,"[0.20097439977528253, 0.7990256002247175]"
chicken pakora,"[0.2495477396698309, 0.7504522603301691]"
cookies,"[0.2592799667107383, 0.7407200332892617]"
bull,"[0.26622326820247466, 0.7337767317975253]"
bru,"[0.2797324130622031, 0.7202675869377969]"
chicken nuggets meal,"[0.297673913638301, 0.702326086361699]"
nuggets,"[0.31071290604648216, 0.6892870939535178]"
vegetable pakora,"[0.3141644368669968, 0.6858355631330032]"
pasties,"[0.32791435320038853, 0.6720856467996115]"
spaghetti,"[0.3284135989436908, 0.6715864010563092]"
chips salad,"[0.33646537799041176, 0.6635346220095882]"
scallops,"[0.3597985894131531, 0.6402014105868469]"
pop,"[0.3661374073969268, 0.6338625926030732]"
pakora,"[0.38093837612429626, 0.6190616238757037]"
site,"[0.3822906709066207, 0.6177093290933793]"
pasta,"[0.3924413678971085, 0.6075586321028915]"
kebab wrap,"[0.4060773055076441, 0.5939226944923559]"
inch margherita,"[0.4082409512546662, 0.5917590487453338]"
sausage supper,"[0.4371353690721911, 0.5628646309278089]"
piece,"[0.44206894811490416, 0.5579310518850958]"
inch bread,"[0.4448106111373529, 0.5551893888626471]"
mince,"[0.4451640822512588, 0.5548359177487412]"
tray,"[0.45264282577407045, 0.5473571742259296]"
pie chips,"[0.45505646034034897, 0.544943539659651]"
cod roe,"[0.46053626058973207, 0.5394637394102679]"
spring roll,"[0.4624339277638466, 0.5375660722361534]"
facebook,"[0.4765961922514401, 0.5234038077485599]"
spam fritter,"[0.4841356602295611, 0.5158643397704389]"
kidney,"[0.4919224144884715, 0.5080775855115285]"
fish bites,"[0.5004088964709338, 0.4995911035290662]"
cod fish,"[0.5287602209618099, 0.4712397790381901]"
rubicon mango,"[0.530152164129137, 0.469847835870863]"
inch meat feast,"[0.5636146759595262, 0.4363853240404738]"
sundries,"[0.5654434443929919, 0.4345565556070082]"
ribs,"[0.5741042046254015, 0.42589579537459854]"
everything,"[0.6028383410361471, 0.3971616589638529]"
kids fingers,"[0.6138011223897664, 0.38619887761023364]"
kidney pie,"[0.6182287661131831, 0.38177123388681683]"
onion pie,"[0.6183716712367104, 0.38162832876328956]"
jacket potatoes,"[0.6301899682840644, 0.3698100317159356]"
vinegar,"[0.6315121322184774, 0.36848786778152265]"
pounder cheese burger,"[0.6343001257163317, 0.3656998742836683]"
nuts,"[0.6361920345712678, 0.36380796542873217]"
shop,"[0.6376516308548901, 0.36234836914510987]"
kids cake,"[0.6412758722229492, 0.35872412777705076]"
bottles,"[0.6488864269093565, 0.3511135730906435]"
portions,"[0.6491476214842626, 0.3508523785157373]"
pies,"[0.6499007889034932, 0.35009921109650677]"
mushroom pie,"[0.6537650229842449, 0.3462349770157552]"
jacket potato,"[0.6544660516688637, 0.34553394833113626]"
side,"[0.658134638949595, 0.34186536105040494]"
pudding,"[0.6608699428706504, 0.3391300571293496]"
salt,"[0.6793547598802283, 0.32064524011977164]"
donner calzone,"[0.6879234797434721, 0.3120765202565279]"
calzone,"[0.6897234920535371, 0.31027650794646294]"
quarter pounder chicken burger,"[0.6930152044240689, 0.3069847955759311]"
grill,"[0.6994801967884396, 0.3005198032115603]"
pitta,"[0.7048133895161655, 0.2951866104838346]"
email,"[0.7137934156001835, 0.28620658439981655]"
bbq chicken,"[0.7204036627133192, 0.2795963372866808]"
sausage chips,"[0.7233132327929694, 0.27668676720703056]"
collection mins,"[0.7270430711597216, 0.2729569288402785]"
chicken tikka wrap,"[0.7280543545832409, 0.27194564541675914]"
award,"[0.7306710430159238, 0.2693289569840762]"
jalapenos,"[0.732941093136003, 0.26705890686399697]"
slice,"[0.7348343274842595, 0.26516567251574047]"
inch chicken,"[0.7360502131658727, 0.2639497868341273]"
collection,"[0.7364985077406081, 0.2635014922593919]"
wings,"[0.7376181211568351, 0.26238187884316483]"
family meal,"[0.740275482046258, 0.25972451795374196]"
specials,"[0.7522695648817943, 0.2477304351182057]"
comments,"[0.7628622832979789, 0.2371377167020211]"
inch pepperoni,"[0.7644202982795797, 0.2355797017204203]"
quarter pounder cheese burger,"[0.7648039162917242, 0.23519608370827588]"
touchsuccess allergy policies,"[0.7664631419963316, 0.23353685800366838]"
order type selection,"[0.7664631419963316, 0.23353685800366838]"
diet pepsi,"[0.7697924084609242, 0.23020759153907577]"
postcode,"[0.7709889119707884, 0.2290110880292116]"
masala,"[0.7715005370287867, 0.2284994629712133]"
allergy,"[0.7723652611249581, 0.2276347388750419]"
cherry coke,"[0.7738523364193444, 0.22614766358065563]"
place,"[0.7757220209461405, 0.22427797905385946]"
half pounder,"[0.7759080556387157, 0.22409194436128427]"
promotions,"[0.780853491186444, 0.219146508813556]"
way,"[0.7813644410212333, 0.21863555897876671]"
orders,"[0.782064097613627, 0.217935902386373]"
pork,"[0.7849534469447428, 0.21504655305525727]"
fries,"[0.785700308690066, 0.21429969130993393]"
privacy policy,"[0.7880910604661, 0.21190893953389997]"
understanding,"[0.7896530633198053, 0.2103469366801946]"
