word,regional
cob,"[0.08807730855757223, 0.9119226914424278]"
hamburger,"[0.10525610602269597, 0.894743893977304]"
dazs,"[0.13270981531083004, 0.86729018468917]"
carbonara,"[0.13270981531083004, 0.86729018468917]"
yorkshire,"[0.14045987649081415, 0.8595401235091858]"
haagen,"[0.14045987649081415, 0.8595401235091858]"
instantly,"[0.14045987649081415, 0.8595401235091858]"
rump,"[0.14045987649081415, 0.8595401235091858]"
naan,"[0.1570942145625226, 0.8429057854374774]"
suey,"[0.17529675897425379, 0.8247032410257462]"
scallop,"[0.20565072011461116, 0.7943492798853888]"
inferno,"[0.20565072011461116, 0.7943492798853888]"
rib,"[0.2165966233707971, 0.7834033766292029]"
balti,"[0.22795793770708006, 0.7720420622929199]"
shot,"[0.23973282852791922, 0.7602671714720808]"
meaty,"[0.23973282852791922, 0.7602671714720808]"
splash,"[0.23973282852791922, 0.7602671714720808]"
quattro,"[0.23973282852791922, 0.7602671714720808]"
keema,"[0.23973282852791922, 0.7602671714720808]"
crunch,"[0.23973282852791922, 0.7602671714720808]"
parmesan,"[0.2519174754983913, 0.7480825245016087]"
macaroni,"[0.2519174754983913, 0.7480825245016087]"
burdock,"[0.2645059581606276, 0.7354940418393724]"
dandelion,"[0.2645059581606276, 0.7354940418393724]"
securely,"[0.2645059581606276, 0.7354940418393724]"
rock,"[0.2645059581606276, 0.7354940418393724]"
pakora,"[0.27749015703762925, 0.7225098429623708]"
spaghetti,"[0.27749015703762925, 0.7225098429623708]"
cornish,"[0.29085967340988605, 0.709140326590114]"
haggis,"[0.3046017708678992, 0.6953982291321008]"
skate,"[0.3046017708678992, 0.6953982291321008]"
bru,"[0.33314089975455397, 0.666859100245446]"
irn,"[0.33314089975455397, 0.666859100245446]"
smokey,"[0.33314089975455397, 0.666859100245446]"
pattie,"[0.33314089975455397, 0.666859100245446]"
passion,"[0.33314089975455397, 0.666859100245446]"
give,"[0.33314089975455397, 0.666859100245446]"
guava,"[0.33314089975455397, 0.666859100245446]"
stagioni,"[0.33314089975455397, 0.666859100245446]"
