word,regional
comment,"[0.6016336999693206, 0.39836630003067935]"
sure,"[0.6016336999693206, 0.39836630003067935]"
corn,"[0.6022780713557252, 0.39772192864427475]"
quality,"[0.6033225128313475, 0.39667748716865253]"
share,"[0.6034441372860281, 0.3965558627139719]"
there,"[0.605130312449113, 0.3948696875508871]"
cooking,"[0.6102945851538137, 0.38970541484618626]"
mon,"[0.6104154522920706, 0.3895845477079294]"
lunchtime,"[0.6104154522920706, 0.3895845477079294]"
children,"[0.6126087795952552, 0.38739122040474483]"
through,"[0.6131262649916329, 0.386873735008367]"
directly,"[0.6137639808963488, 0.38623601910365124]"
collect,"[0.6142808947647305, 0.38571910523526953]"
spice,"[0.6149179027728846, 0.38508209722711545]"
closed,"[0.6154342399389936, 0.3845657600610064]"
strongly,"[0.6154342399389936, 0.3845657600610064]"
mild,"[0.616190736017278, 0.383809263982722]"
funghi,"[0.616190736017278, 0.383809263982722]"
accepted,"[0.6172218621537597, 0.3827781378462402]"
form,"[0.6177370304934884, 0.3822629695065117]"
combination,"[0.6177370304934884, 0.3822629695065117]"
chop,"[0.6177370304934884, 0.3822629695065117]"
dinner,"[0.6177370304934884, 0.3822629695065117]"
english,"[0.6200345452281857, 0.37996545477181426]"
hour,"[0.6206679189138251, 0.37933208108617483]"
call,"[0.6206679189138251, 0.37933208108617483]"
was,"[0.6206679189138251, 0.37933208108617483]"
boiled,"[0.6216944014661299, 0.37830559853387014]"
crab,"[0.6216944014661299, 0.37830559853387014]"
postcode,"[0.6223266936340128, 0.3776733063659871]"
way,"[0.625124648478534, 0.374875351521466]"
enter,"[0.6257546586798317, 0.3742453413201683]"
type,"[0.6257546586798317, 0.3742453413201683]"
experience,"[0.6257546586798317, 0.3742453413201683]"
understanding,"[0.6279142683330512, 0.37208573166694886]"
nut,"[0.6284237094361538, 0.3715762905638462]"
fishcake,"[0.6290514652988488, 0.37094853470115124]"
jacket,"[0.6301872336386518, 0.3698127663613482]"
seekh,"[0.6308137604517208, 0.3691862395482793]"
chunk,"[0.6308137604517208, 0.3691862395482793]"
