word,cityNumber,word_central_lon,word_central_lat,radius,median,shopNumberLessThanMedian,shopNumberLargerThanMedian,largestDistance,avgDistance,word_ratio
dip,27,-2.5828999375856756,54.38288762615369,599344.7859078464,343202.89,27,24,817557.98,365487.0,0.35
butter,27,-2.0925296362746786,53.753817215662515,652104.9609997282,302734.87,28,30,729551.87,334721.9,0.29
sunday,27,-2.402930260029882,53.664857365286,549101.6429013959,264440.8,33,38,699394.29,325964.14,0.28
pepperoni,27,-2.437012782214213,54.400324607213335,543804.0482420771,313776.63,34,44,713489.4,320755.87,0.32
sausages,27,-2.356228872075218,53.14891757971587,644749.3624448387,336180.61,23,29,872221.4,382452.76,0.21
pepper,27,-2.1989903364181043,53.91038978596181,599388.0259336128,289184.31,42,33,739782.4,340718.19,0.39
ice cream,27,-2.5158149352076182,54.23068181106183,651336.3251817721,342991.78,20,33,792953.36,360552.55,0.23
opening,27,-2.365070152767008,53.62965967053348,578908.0624673651,381947.91,37,34,785193.96,331043.17,0.23
curry sauce,26,-2.406023713943578,53.871677986800904,621278.8769277354,425888.98,22,18,734688.64,382702.49,0.23
home,26,-2.1343581181281874,53.26610560324806,529272.1410268203,331421.04,19,26,647225.41,321886.92,0.27
chicken kebab,26,-2.087912834800831,53.71732784901214,479472.3359649664,248101.01,42,24,778177.28,308578.74,0.33
meat,26,-2.0345467050115054,53.79625588535142,469798.65742652933,234483.34,47,33,583520.59,272899.84,0.39
cans,26,-1.959299455735503,53.740218941525335,542557.0342400087,279045.04,50,23,778588.41,327359.33,0.53
chicken breast,26,-2.4703032978941164,53.613158114331505,557357.6659039096,290786.83,29,30,613428.39,318957.32,0.24
cheeseburger,26,-2.4715196084231046,53.84305741007328,654701.9415138274,277829.01,23,23,726830.9,334915.49,0.13
batter,26,-2.275244021567734,53.65842887362149,578960.622509682,284393.9,21,33,704441.01,338591.36,0.24
toppings,26,-2.4481359192676364,54.568676703041014,551753.5043192836,329703.93,41,26,743604.12,345514.07,0.3
information,25,-1.9800529066042285,53.57905329700669,571720.3252198831,260877.87,22,22,698052.18,291791.1,0.39
wraps,25,-2.1781916644424513,54.151274595160416,478445.38472691836,251633.0,24,33,793320.93,298170.76,0.37
pieces,25,-2.0883496378046638,53.53112732865534,509920.8768895405,279543.59,37,22,706900.35,305178.08,0.31
items,25,-2.2115299288787966,54.21569197289932,577922.509087906,317903.63,34,22,803055.83,320369.26,0.48
coke,25,-2.5471298709070833,54.24592336741389,574208.5011176186,338873.9,24,24,691804.14,339782.92,0.29
peppers,25,-2.502095985672769,54.49334547777792,516905.5378819861,301472.91,33,30,732687.74,325553.23,0.37
meals,24,-2.3236495711517904,53.47608594785857,594376.8786211686,315567.17,20,14,717627.93,332099.97,0.41
mayo,24,-2.66373570385532,54.163616342661264,498484.4582243934,303355.2,21,32,683518.31,324167.58,0.26
food,24,-2.5357906512236537,53.385526389602596,645864.7488168341,335366.94,21,31,824790.54,341245.07,0.21
delivery,24,-2.2359584799110745,54.25920233181389,522828.8214673291,330039.98,30,18,679946.05,320260.59,0.42
tuesday,24,-2.4750184783909646,53.77141333036019,566894.4929420538,341867.29,40,30,714311.7,336015.69,0.3
pizzas,24,-2.715583881354812,54.694346219218154,562147.6969553715,304904.48,47,25,600025.83,328501.14,0.21
lamb,24,-2.1742729650569617,53.68214067682884,558592.9514262064,281624.6,19,21,781619.57,330649.5,0.23
thursday,24,-2.4617058961799314,53.82254836107248,517402.9203412747,347517.18,40,31,651309.09,330661.19,0.3
plaice,24,-1.3824369204427058,52.49909327208851,452000.09300515044,258097.61,42,22,585101.04,280060.09,0.33
friday,24,-2.323465321474069,53.692087463045574,490106.09477114165,246415.2,38,34,587045.42,300301.75,0.29
onions,24,-2.463566907807969,54.21107051520845,470875.8316908865,302699.26,39,39,681840.43,300720.93,0.32
chicken wings,24,-2.553085383900618,53.79660889208482,569811.0262624593,399239.7,23,23,749524.35,360710.78,0.28
time,23,-2.172160794905997,54.01544824025256,514941.7402193613,286721.73,25,18,770129.06,328659.45,0.28
sides,23,-2.4680477590077667,53.686448801914665,593772.1828179674,259521.17,23,27,771943.65,331725.62,0.22
kidney pie,23,-1.793136123373133,52.478104872501916,369551.5539061368,243952.01,32,15,551203.51,251945.1,0.49
portion,23,-2.829549846541404,54.36724726628008,522452.3410741265,311200.92,27,36,805865.13,324225.02,0.25
cheesy,23,-2.269677486362581,53.7367682069588,591764.3673752506,246965.88,21,25,717946.32,342948.01,0.22
side orders,23,-2.461637632649404,54.00609140543617,646734.2686898255,315210.46,20,30,755606.67,360190.08,0.2
donner kebab,23,-2.1568137429729344,54.20705368439603,509037.663591938,314124.79,29,35,655069.15,305548.8,0.36
diet coke,23,-2.2489687373064355,54.060671830073495,625672.490180074,318070.14,20,17,711027.34,352998.78,0.35
chicken wrap,22,-2.1110392162590914,54.053403283617016,424425.50678208325,243985.54,23,19,480567.69,267793.8,0.38
rice,22,-2.5862028031380495,53.05008826788094,569902.1514639462,302824.14,27,13,660786.42,308496.66,0.4
wrap,22,-1.9789416421753794,53.97442786683603,454743.94985974167,271511.65,27,21,623671.88,291892.79,0.44
cocacola,22,-2.5177761788296142,53.950484638533254,459570.0545726024,298105.43,32,35,599050.31,316078.36,0.18
mayonnaise,22,-2.666925309131899,54.26837305762727,655725.209253227,324791.07,15,16,793852.03,352870.58,0.26
collection,22,-2.1173284922930766,54.07326448351422,491288.01229212224,244160.48,30,18,713429.62,295735.45,0.54
chocolate,22,-2.520573629422227,53.28806030359186,630335.6373463408,336441.18,15,19,842853.28,361925.67,0.26
offers,22,-2.2258560244437873,54.22991067666863,512690.13460512174,294186.07,26,30,732709.4,302501.12,0.41
donner meat,22,-1.9593556478909484,53.669630149095205,461526.97626017453,229438.27,31,24,563290.65,256010.32,0.29
seafood,22,-2.1999721954170783,54.32351413737786,471225.7817620819,258376.1,20,24,557369.41,282070.65,0.39
onion pie,22,-1.9173349073197605,52.96484705438057,442354.0961001112,278026.55,24,15,613127.1,262704.42,0.56
kids meal,21,-2.508411715036147,54.28943186345972,565592.6805324659,362679.12,14,17,697464.96,362935.63,0.32
mushroom pie,21,-1.8871181440333706,52.500407755822906,428172.19611377397,240306.18,26,13,547462.6,253102.31,0.46
donner,21,-2.009013617618595,53.904587625878975,511122.8957200359,264444.92,21,20,636801.09,298354.16,0.34
can,21,-2.461108209309628,53.969304524456554,490823.4689395396,308643.83,18,16,625802.43,330018.07,0.24
bun,21,-1.8736798651739468,53.67603151239287,567458.0531383491,249047.17,21,16,680203.08,313598.36,0.3
chicken fillet burger,21,-2.2773848813884494,53.36485630075461,605915.919996601,314344.46,17,14,835521.38,345254.93,0.19
bbq sauce,20,-2.5338107560094074,54.43916364832835,543187.4165226662,311969.96,18,16,632780.41,326560.94,0.41
chip shop,20,-3.1161389258332495,55.129074386678376,679589.3269294939,312365.01,31,12,938687.61,335651.63,0.21
potato,20,-2.8353760229372225,54.82291245288918,621416.7503087635,290564.86,24,14,680756.56,329158.33,0.18
box,20,-2.6092588432936816,54.90578463450724,544926.1537981495,299009.24,22,15,689744.94,312159.21,0.16
deals,20,-1.9881246950238816,53.94948124192554,628365.1137022966,276461.1,26,12,767717.49,338503.76,0.24
delivery times,20,-2.6030629013147775,53.94893895626049,457857.01073074364,302222.85,28,29,644356.68,317632.57,0.21
kids chicken nuggets,20,-2.40997353534765,53.78007577892738,451948.5019497116,245848.45,14,19,661099.8,281338.91,0.3
pitta,20,-1.3999204102483003,52.92379022167252,462155.91793304204,300786.21,23,12,823380.82,296932.78,0.57
option,20,-1.843876796335454,53.87714812492492,596437.6092348514,288006.24,24,12,762920.34,335315.36,0.39
takeaway,20,-2.3667955474052857,52.881891722224864,509506.2150600948,352723.58,19,12,607351.1,325256.28,0.42
meat feast,19,-2.308618542484589,54.35451833553105,482859.6418496801,326240.41,18,21,551837.39,296593.06,0.31
chilli,19,-2.8438968795877164,53.84430897315341,448420.70309894,273726.49,14,16,733381.58,327531.81,0.23
way,19,-1.8168835150641789,53.798435491191945,535435.3574565366,242741.9,18,15,751296.91,286015.43,0.48
dips,19,-2.7615377181182676,54.240216702384075,583818.2021902093,300362.39,12,21,785310.31,332646.34,0.12
kidney,19,-1.204797818447678,52.77040840692789,418057.2582292006,259315.87,25,13,538471.0,251554.69,0.63
roll,19,-3.082105331409559,54.69488477436535,676986.4396514737,442766.52,36,16,798763.31,436904.05,0.1
bottles,19,-1.8580010960537858,53.604856941789585,569781.6647863076,224593.34,21,15,717345.91,266393.23,0.56
specials,19,-1.8662173872094232,53.09090885441906,635563.9734449079,209418.13,15,17,789250.6,277740.21,0.53
basket,19,-1.9763472468053431,54.085415803164835,602671.830761636,261774.05,23,17,716570.43,319158.86,0.35
allergy,19,-2.039400403109524,53.838415788192655,522647.5211995795,224306.32,19,16,649236.46,283833.01,0.49
jalapenos,19,-2.2763480101069247,54.6015248312418,520780.74795843475,282826.41,19,17,582689.19,278734.02,0.53
diet cocacola,19,-2.6248318379359157,54.019237717445016,471065.90090137144,324040.86,24,27,609740.58,325995.32,0.27
health,19,-2.043346688084422,53.762664138488674,536546.9599703986,237960.01,21,14,663493.73,287350.18,0.29
loading,19,-2.6270871048895312,54.18138712746224,477895.0628689781,225973.41,16,21,587258.51,283846.79,0.38
ltr,19,-2.9798331783890024,54.953152187860475,619985.8053506772,336060.97,22,14,645796.14,346208.77,0.17
who,19,-2.0291459770410345,53.95689424638802,626892.1805492385,274421.8,21,14,766952.0,305891.14,0.4
bacon,18,-3.0618996380039993,54.42366839028747,550411.2172889333,315581.48,22,13,747974.15,341505.04,0.29
tango,18,-2.180585261160627,53.73749541452138,568425.8427090995,278668.43,16,10,668261.59,334821.49,0.31
chicken curry,18,-2.5797400122540277,53.06314016706701,567855.7021694969,299278.99,17,10,658424.46,319266.91,0.44
meal deal,18,-2.698338444811875,54.57302008426729,574651.7952595114,332761.97,19,11,847821.12,348255.25,0.4
dishes,18,-2.55242703458254,53.342490336474825,520254.9728892295,397854.86,19,12,606918.91,354930.54,0.29
postcode,18,-1.8783676385859307,53.87162125364352,520416.1232907865,220002.79,18,14,643407.96,280614.6,0.47
coffee,18,-2.412769508350379,52.97880556161893,588810.8985702033,328002.67,19,16,901399.19,365218.64,0.4
tuna,18,-2.521217818498475,54.86341698909602,474373.4823065697,268260.13,24,18,907079.68,321187.45,0.4
chicken tikka,18,-1.8915483607437527,53.8458956280739,470575.2078337126,235279.63,19,14,597153.71,282416.53,0.33
piece,18,-1.7753056986928069,53.11997306374828,593853.2665012332,166198.52,20,11,660052.05,249902.46,0.68
