word,cityNumber,word_central_lon,word_central_lat,radius,median,shopNumberLessThanMedian,shopNumberLargerThanMedian,largestDistance,avgDistance,word_ratio,regional
mixed meat,10,-1.7214458839652431,52.728880002646235,413206.2105515204,132013.05,13,6,856605.72,239895.73,0.79,Y
pieces chicken,7,-1.7048832749380474,52.58694815249889,227282.4223778951,91331.85,5,4,882683.34,222746.75,0.78,N
steak burger,7,-1.8849503132621273,53.01141413550766,265058.8525674748,118498.3,5,4,359786.28,170189.94,0.78,N
mushrooms sweetcorn,7,-1.6917474621603754,53.09056748079586,367683.77417375334,127230.74,3,6,431593.47,185539.04,0.78,N
salt,8,-2.5778956966480857,54.08426802841564,392401.89883103414,146940.83,9,4,559385.87,245989.33,0.77,Y
peas small,13,-1.77937666663704,53.22256816928277,576853.7299939857,137131.44,12,13,576853.73,178502.24,0.76,Y
mince pie,12,-3.214353818393529,55.65276442684913,250668.84913199613,181965.88,37,12,472332.92,208343.49,0.76,Y
haggis,10,-2.827972758018145,55.14706909789142,212490.05285251213,159699.48,17,12,295070.01,157470.65,0.76,Y
irn bru,14,-3.257718594207355,55.70910485798328,405285.0737439447,246500.52,44,9,629702.62,266813.33,0.75,Y
fish chips,13,-1.9333766524436118,53.277340242779324,388252.2614908282,146702.25,9,7,508598.72,189033.19,0.75,Y
large haddock,10,-1.1511292033580145,53.05060241859296,363797.55264139245,156007.05,10,6,400603.32,203534.18,0.75,Y
chips curry,8,-2.2202664039382514,52.86586890210915,273021.33017178,123374.91,4,4,615925.99,192918.45,0.75,N
fried onion,8,-1.839225680256098,53.36174975001958,238726.33373287486,144726.6,4,4,595448.78,185281.25,0.75,N
meat kebab,7,-1.47046883471097,52.988259900969226,299458.2326856216,104607.75,3,5,337466.46,147473.3,0.75,N
bru l,7,-3.507832865893917,55.725594785262324,285655.84973066504,283063.01,16,4,643629.31,277028.63,0.75,Y
spicy bean,2,-1.334999185019744,51.17360455813882,451977.69737863576,301410.92,3,1,451977.7,301410.92,0.75,N
sausage large,13,-1.6160014822484612,52.91862091538172,314048.1505205326,125183.65,12,7,423045.4,177671.2,0.74,Y
sausage supper,9,-4.245929653924762,55.60475379106419,360049.0890653479,222659.98,28,10,464437.89,230599.99,0.74,Y
sausage supper,9,-4.245929653924762,55.60475379106419,360049.0890653479,222659.98,28,10,464437.89,230599.99,0.74,Y
red bull,8,-2.922143882340535,55.67817355147383,385598.9622796296,194085.04,11,4,924276.77,296906.43,0.73,Y
cornish pasty,11,-1.2711152256556737,52.506254679150636,281758.83427653415,163230.08,10,8,338199.75,160195.8,0.72,Y
in pitta,16,-1.6193981576552234,53.00097002542919,436768.7222304708,206037.79,23,9,591653.23,240289.1,0.72,Y
tandoori chicken,13,-1.3513827838901915,53.04091636903716,366865.94293559337,147389.27,13,8,685273.88,246686.13,0.71,N
all kebabs,7,-2.471096635790213,55.48967847409507,334266.69854950195,149875.81,3,4,504378.21,220346.9,0.71,N
