word,distance_centre,shop_number,word_central_lon,word_central_lat,radius,word_ratio
aided,0.0,1,-1.75206,53.79390999999999,0.0,1.0
limited,276978.52,1,-2.473344593139663,54.87751873444975,276978.5210220485,0.33
limited,97339.19,1,-2.473344593139663,54.87751873444975,276978.5210220485,0.33
limited,230448.65,1,-2.473344593139663,54.87751873444975,276978.5210220485,0.33
kickstart,0.0,1,-1.6139599999999998,54.97328,0.0,1.0
sauasag,0.0,1,0.13333,50.83333,0.0,1.0
mackerel,247888.56,2,-3.326452890337234,52.660589936462436,487370.9283407395,0.0
mackerel,462624.71,1,-3.326452890337234,52.660589936462436,487370.9283407395,0.0
mackerel,487370.93,1,-3.326452890337234,52.660589936462436,487370.9283407395,0.0
child,280656.12,2,-3.5866711731573173,51.44422825229648,486961.7763244347,0.0
child,603200.87,1,-3.5866711731573173,51.44422825229648,486961.7763244347,0.0
child,486961.78,2,-3.5866711731573173,51.44422825229648,486961.7763244347,0.0
child,197929.58,2,-3.5866711731573173,51.44422825229648,486961.7763244347,0.0
monte,0.0,1,-3.19648,55.95206,0.0,1.0
yellow,447735.38,1,-2.147163350325572,53.05223470104004,567709.2166045728,0.44
yellow,296934.22,1,-2.147163350325572,53.05223470104004,567709.2166045728,0.44
yellow,113863.89,3,-2.147163350325572,53.05223470104004,567709.2166045728,0.44
yellow,154044.98,1,-2.147163350325572,53.05223470104004,567709.2166045728,0.44
yellow,361309.77,1,-2.147163350325572,53.05223470104004,567709.2166045728,0.44
yellow,567709.22,2,-2.147163350325572,53.05223470104004,567709.2166045728,0.44
napolitana,292870.66,1,-2.691819357038374,54.47749359069064,292870.6648960631,0.0
napolitana,282701.04,1,-2.691819357038374,54.47749359069064,292870.6648960631,0.0
four,444679.99,1,-2.8201592674122287,54.78359678020457,582901.7232445332,0.32
four,161591.35,1,-2.8201592674122287,54.78359678020457,582901.7232445332,0.32
four,582901.72,1,-2.8201592674122287,54.78359678020457,582901.7232445332,0.32
four,348305.3,1,-2.8201592674122287,54.78359678020457,582901.7232445332,0.32
four,24396.51,2,-2.8201592674122287,54.78359678020457,582901.7232445332,0.32
four,255591.29,1,-2.8201592674122287,54.78359678020457,582901.7232445332,0.32
four,103342.83,2,-2.8201592674122287,54.78359678020457,582901.7232445332,0.32
four,260969.85,1,-2.8201592674122287,54.78359678020457,582901.7232445332,0.32
four,391936.52,2,-2.8201592674122287,54.78359678020457,582901.7232445332,0.32
four,798010.06,1,-2.8201592674122287,54.78359678020457,582901.7232445332,0.32
four,235335.04,2,-2.8201592674122287,54.78359678020457,582901.7232445332,0.32
four,240128.54,1,-2.8201592674122287,54.78359678020457,582901.7232445332,0.32
four,265026.58,5,-2.8201592674122287,54.78359678020457,582901.7232445332,0.32
four,139043.49,1,-2.8201592674122287,54.78359678020457,582901.7232445332,0.32
four,222835.04,2,-2.8201592674122287,54.78359678020457,582901.7232445332,0.32
four,232439.98,4,-2.8201592674122287,54.78359678020457,582901.7232445332,0.32
four,751529.09,1,-2.8201592674122287,54.78359678020457,582901.7232445332,0.32
four,332472.64,2,-2.8201592674122287,54.78359678020457,582901.7232445332,0.32
nottingham,0.0,5,-1.15047,52.9536,0.0,1.0
lauriston,0.0,1,-0.09184000000000002,51.512789999999995,0.0,1.0
accreditations,0.0,1,-1.75206,53.79390999999999,0.0,1.0
clotted,0.0,1,-5.066539999999999,50.15201,1.1641532182693481e-10,1.0
asian,286040.09,1,-1.8796575565238522,53.51956675620564,101666.91143722534,0.8
asian,40432.14,1,-1.8796575565238522,53.51956675620564,101666.91143722534,0.8
asian,63726.52,2,-1.8796575565238522,53.51956675620564,101666.91143722534,0.8
asian,101666.91,1,-1.8796575565238522,53.51956675620564,101666.91143722534,0.8
imperiale,0.0,1,-3.6021799999999997,55.07215999999999,5.589147975741794e-09,1.0
cringleford,0.0,1,1.28925,52.63219999999999,2.7939677238464355e-09,1.0
appetite,60153.68,1,-1.2117281874605492,53.7783255562142,97666.12514231009,0.75
appetite,474641.28,1,-1.2117281874605492,53.7783255562142,97666.12514231009,0.75
appetite,37530.89,1,-1.2117281874605492,53.7783255562142,97666.12514231009,0.75
appetite,97666.13,1,-1.2117281874605492,53.7783255562142,97666.12514231009,0.75
captain,136768.69,1,-2.395758910919754,54.408459565395795,313551.78571221116,0.67
captain,313551.79,1,-2.395758910919754,54.408459565395795,313551.78571221116,0.67
captain,176121.16,1,-2.395758910919754,54.408459565395795,313551.78571221116,0.67
integrity,0.0,1,-1.6139599999999998,54.97328,0.0,1.0
worked,281677.05,1,-3.0198191495438294,52.47835001008829,472410.44163774926,0.0
worked,204588.37,1,-3.0198191495438294,52.47835001008829,472410.44163774926,0.0
worked,472410.44,1,-3.0198191495438294,52.47835001008829,472410.44163774926,0.0
dazs,56536.31,6,-1.6077884235159992,52.73416692836571,155038.08402294602,0.93
dazs,64945.09,5,-1.6077884235159992,52.73416692836571,155038.08402294602,0.93
dazs,216014.4,1,-1.6077884235159992,52.73416692836571,155038.08402294602,0.93
dazs,155038.08,1,-1.6077884235159992,52.73416692836571,155038.08402294602,0.93
dazs,60871.95,1,-1.6077884235159992,52.73416692836571,155038.08402294602,0.93
whose,0.0,1,-1.75206,53.79390999999999,0.0,1.0
