word,distance_centre,shop_number,word_central_lon,word_central_lat,radius,word_ratio
or black,67594.03,1,-0.9415500964783583,53.77053548860349,67594.0262952171,1.0
or black,67593.71,1,-0.9415500964783583,53.77053548860349,67594.0262952171,1.0
funghi tagliatelle,0.0,1,-3.19648,55.95206,0.0,1.0
free irn,19198.86,1,-1.5988523777872397,54.87443927243324,19198.863198214814,1.0
free irn,19151.97,1,-1.5988523777872397,54.87443927243324,19198.863198214814,1.0
pasta bolognaise,0.0,1,-1.23258,54.57308999999999,0.0,1.0
fillet balls,0.0,1,-2.9779400000000003,53.41058,0.0,1.0
sized pieces,0.0,1,-1.6139599999999998,54.97328,0.0,1.0
pardasi vegetables,0.0,1,-4.62849,55.45862,0.0,1.0
nuances of,0.0,1,-0.09184000000000002,51.512789999999995,0.0,1.0
seasonal favourites,0.0,1,-0.09184000000000002,51.512789999999995,0.0,1.0
dad in,0.0,1,-1.54785,53.79648,0.0,1.0
pudding cake,0.0,1,-1.54785,53.79648,0.0,1.0
changes in,0.0,1,-3.19648,55.95206,0.0,1.0
and tomatoes,264708.99,1,-2.3641184878356234,55.13093073157758,273334.9667096219,0.0
and tomatoes,273334.97,1,-2.3641184878356234,55.13093073157758,273334.9667096219,0.0
frappato roceno,0.0,1,-0.09184000000000002,51.512789999999995,0.0,1.0
a gluten,305008.49,2,-2.176369742443284,54.459212179729704,642114.8289050849,0.0
a gluten,642114.83,1,-2.176369742443284,54.459212179729704,642114.8289050849,0.0
lobster prawns,0.0,1,-2.9320600000000003,54.89228000000001,0.0,1.0
three pieces,0.0,1,-5.933330000000001,54.583330000000004,0.0,1.0
spicy sriracha,0.0,1,-5.933330000000001,54.583330000000004,0.0,1.0
locals and,0.0,1,-1.75206,53.79390999999999,0.0,1.0
choice tub,0.0,1,-1.54785,53.79648,0.0,1.0
duck black,0.0,1,-2.9779400000000003,53.41058,0.0,1.0
kebabs excluding,0.0,1,-3.19648,55.95206,0.0,1.0
will make,0.0,1,-5.066539999999999,50.15201,1.1641532182693481e-10,1.0
birds bread,0.0,2,-1.15047,52.9536,0.0,1.0
cake on,0.0,1,-2.2374299999999994,53.48095000000001,4.6566128730773926e-09,1.0
peri pastie,0.0,1,-2.2374299999999994,53.48095000000001,4.6566128730773926e-09,1.0
raspberry banana,0.0,1,-3.6021799999999997,55.07215999999999,5.589147975741794e-09,1.0
wednesday,282080.78,5,-2.622636222350961,53.86644483072396,442199.74767886894,0.25
wednesday,581335.88,2,-2.622636222350961,53.86644483072396,442199.74767886894,0.25
wednesday,94185.77,3,-2.622636222350961,53.86644483072396,442199.74767886894,0.25
wednesday,631726.5,1,-2.622636222350961,53.86644483072396,442199.74767886894,0.25
wednesday,97763.51,1,-2.622636222350961,53.86644483072396,442199.74767886894,0.25
wednesday,433528.68,1,-2.622636222350961,53.86644483072396,442199.74767886894,0.25
wednesday,198864.35,1,-2.622636222350961,53.86644483072396,442199.74767886894,0.25
wednesday,437929.72,1,-2.622636222350961,53.86644483072396,442199.74767886894,0.25
wednesday,408536.66,5,-2.622636222350961,53.86644483072396,442199.74767886894,0.25
wednesday,536538.4,1,-2.622636222350961,53.86644483072396,442199.74767886894,0.25
wednesday,442199.75,2,-2.622636222350961,53.86644483072396,442199.74767886894,0.25
wednesday,84087.9,4,-2.622636222350961,53.86644483072396,442199.74767886894,0.25
wednesday,269245.94,5,-2.622636222350961,53.86644483072396,442199.74767886894,0.25
wednesday,236212.43,2,-2.622636222350961,53.86644483072396,442199.74767886894,0.25
wednesday,157356.1,2,-2.622636222350961,53.86644483072396,442199.74767886894,0.25
wednesday,120235.55,5,-2.622636222350961,53.86644483072396,442199.74767886894,0.25
wednesday,426925.98,10,-2.622636222350961,53.86644483072396,442199.74767886894,0.25
wednesday,208305.38,5,-2.622636222350961,53.86644483072396,442199.74767886894,0.25
wednesday,442134.26,2,-2.622636222350961,53.86644483072396,442199.74767886894,0.25
wednesday,392575.1,4,-2.622636222350961,53.86644483072396,442199.74767886894,0.25
wednesday,168140.22,2,-2.622636222350961,53.86644483072396,442199.74767886894,0.25
wednesday,297465.24,3,-2.622636222350961,53.86644483072396,442199.74767886894,0.25
chicken whole,0.0,1,0.13333,50.83333,0.0,1.0
sol ml,0.0,1,-3.1799999999999997,51.47999999999999,0.0,1.0
stop will,0.0,1,-5.933330000000001,54.583330000000004,0.0,1.0
your website,0.0,1,-1.23258,54.57308999999999,0.0,1.0
x lb,0.0,1,-3.19648,55.95206,0.0,1.0
main courses,301579.99,1,-0.5772669315777034,52.27379064282073,301579.99263142236,0.67
main courses,147363.63,2,-0.5772669315777034,52.27379064282073,301579.99263142236,0.67
monster energy,430929.19,1,-2.1267154812545335,53.74397417168544,430929.18842069455,0.0
monster energy,241431.62,1,-2.1267154812545335,53.74397417168544,430929.18842069455,0.0
monster energy,205470.16,1,-2.1267154812545335,53.74397417168544,430929.18842069455,0.0
delivery charge,0.0,1,-2.97489,56.46913,0.0,1.0
large range,0.0,1,-5.066539999999999,50.15201,1.1641532182693481e-10,1.0
vegetarian calzones,0.0,1,-1.15047,52.9536,0.0,1.0
large party,0.0,1,1.15472,52.05834,0.0,1.0
pizza chips,158422.84,1,-1.96611028909216,54.15051098632923,459564.0090277595,0.6
pizza chips,178138.91,3,-1.96611028909216,54.15051098632923,459564.0090277595,0.6
pizza chips,253801.07,1,-1.96611028909216,54.15051098632923,459564.0090277595,0.6
pizza chips,310807.27,1,-1.96611028909216,54.15051098632923,459564.0090277595,0.6
pizza chips,81504.19,1,-1.96611028909216,54.15051098632923,459564.0090277595,0.6
pizza chips,459564.01,1,-1.96611028909216,54.15051098632923,459564.0090277595,0.6
pizza chips,590352.75,1,-1.96611028909216,54.15051098632923,459564.0090277595,0.6
pizza chips,71494.07,1,-1.96611028909216,54.15051098632923,459564.0090277595,0.6
tikka jalapenos,45064.37,1,-1.5157614252381362,52.56002394026281,45064.37259797589,1.0
tikka jalapenos,45057.48,1,-1.5157614252381362,52.56002394026281,45064.37259797589,1.0
double chip,0.0,1,-1.51217,52.40656,0.0,1.0
for quick,0.0,1,-1.6139599999999998,54.97328,0.0,1.0
butter cup,0.0,1,-1.58374,54.77559999999998,2.7939677238464355e-09,1.0
drink p,0.0,1,-1.75206,53.79390999999999,0.0,1.0
cooking,318105.92,2,-1.7633450077885466,53.79762938080415,537045.0217331965,0.36
cooking,361601.17,1,-1.7633450077885466,53.79762938080415,537045.0217331965,0.36
cooking,245965.15,3,-1.7633450077885466,53.79762938080415,537045.0217331965,0.36
cooking,187371.95,1,-1.7633450077885466,53.79762938080415,537045.0217331965,0.36
cooking,158740.05,1,-1.7633450077885466,53.79762938080415,537045.0217331965,0.36
cooking,244475.7,2,-1.7633450077885466,53.79762938080415,537045.0217331965,0.36
cooking,171452.1,5,-1.7633450077885466,53.79762938080415,537045.0217331965,0.36
cooking,23962.92,1,-1.7633450077885466,53.79762938080415,537045.0217331965,0.36
cooking,155253.34,2,-1.7633450077885466,53.79762938080415,537045.0217331965,0.36
cooking,259169.84,1,-1.7633450077885466,53.79762938080415,537045.0217331965,0.36
cooking,402561.2,1,-1.7633450077885466,53.79762938080415,537045.0217331965,0.36
cooking,225121.58,2,-1.7633450077885466,53.79762938080415,537045.0217331965,0.36
cooking,657939.92,1,-1.7633450077885466,53.79762938080415,537045.0217331965,0.36
cooking,1436.97,3,-1.7633450077885466,53.79762938080415,537045.0217331965,0.36
cooking,537045.02,2,-1.7633450077885466,53.79762938080415,537045.0217331965,0.36
dressing served,0.0,1,-5.933330000000001,54.583330000000004,0.0,1.0
range rib,65863.55,1,-2.168156025208819,54.71987652756469,65864.82593235694,1.0
range rib,65864.83,1,-2.168156025208819,54.71987652756469,65864.82593235694,1.0
scotch egg,0.0,1,-7.302369999999999,54.996199999999995,1.1641532182693481e-10,1.0
cumberland sausages,0.0,1,-3.19648,55.95206,0.0,1.0
drink a,298786.74,1,-1.655537654046372,55.10595795904794,306947.52674490126,0.0
drink a,306947.53,1,-1.655537654046372,55.10595795904794,306947.52674490126,0.0
friary fish,0.0,1,-4.22398,57.47908,0.0,1.0
coke coke,0.0,1,-5.933330000000001,54.583330000000004,0.0,1.0
with prawns,391506.53,1,-3.57001359954031,52.8956777020965,411713.27329266636,0.0
with prawns,411713.27,1,-3.57001359954031,52.8956777020965,411713.27329266636,0.0
by sustainable,0.0,1,-1.75206,53.79390999999999,0.0,1.0
bap the,0.0,1,-5.933330000000001,54.583330000000004,0.0,1.0
salad per,0.0,1,-1.1316900000000003,52.6386,0.0,1.0
chilli tomato,0.0,1,-3.19648,55.95206,0.0,1.0
beef pastie,0.0,1,-3.9449,51.62125,0.0,1.0
kids,149658.8,2,-2.7196905623679424,54.34287450846402,302675.71363377414,0.2
kids,302675.71,1,-2.7196905623679424,54.34287450846402,302675.71363377414,0.2
kids,341783.2,1,-2.7196905623679424,54.34287450846402,302675.71363377414,0.2
kids,4017.89,1,-2.7196905623679424,54.34287450846402,302675.71363377414,0.2
ricotta filling,0.0,1,-3.19648,55.95206,0.0,1.0
are just,0.0,1,-1.51217,52.40656,0.0,1.0
enjoy a,0.0,1,-2.9779400000000003,53.41058,0.0,1.0
me sachet,0.0,1,-1.75206,53.79390999999999,0.0,1.0
muirhead,0.0,1,-2.97489,56.46913,0.0,1.0
pizza curry,0.0,1,-3.19648,55.95206,0.0,1.0
golden,231123.24,1,-0.9221326690962997,52.65308402480803,231123.2371891448,0.0
golden,226058.6,1,-0.9221326690962997,52.65308402480803,231123.2371891448,0.0
kethcup,0.0,1,-1.75206,53.79390999999999,0.0,1.0
casks abv,0.0,1,-3.19648,55.95206,0.0,1.0
or just,38597.32,1,-1.1442138417442786,52.848599660537296,38597.32009880394,1.0
or just,19368.68,2,-1.1442138417442786,52.848599660537296,38597.32009880394,1.0
you up,0.0,1,-5.933330000000001,54.583330000000004,0.0,1.0
supper a,0.0,1,-5.933330000000001,54.583330000000004,0.0,1.0
a portion,225055.08,1,-3.910434749824679,54.621529336661716,286987.4905180033,0.17
a portion,181011.28,1,-3.910434749824679,54.621529336661716,286987.4905180033,0.17
a portion,458817.57,1,-3.910434749824679,54.621529336661716,286987.4905180033,0.17
a portion,251555.24,1,-3.910434749824679,54.621529336661716,286987.4905180033,0.17
a portion,245641.97,1,-3.910434749824679,54.621529336661716,286987.4905180033,0.17
a portion,286987.49,1,-3.910434749824679,54.621529336661716,286987.4905180033,0.17
salad chips,183094.76,1,-2.3360151458845766,54.12552553317437,399262.328257751,0.44
salad chips,161120.87,1,-2.3360151458845766,54.12552553317437,399262.328257751,0.44
salad chips,152272.39,1,-2.3360151458845766,54.12552553317437,399262.328257751,0.44
salad chips,255872.23,1,-2.3360151458845766,54.12552553317437,399262.328257751,0.44
salad chips,210631.41,2,-2.3360151458845766,54.12552553317437,399262.328257751,0.44
salad chips,399262.33,2,-2.3360151458845766,54.12552553317437,399262.328257751,0.44
salad chips,181283.75,1,-2.3360151458845766,54.12552553317437,399262.328257751,0.44
about towngate,0.0,1,-1.75206,53.79390999999999,0.0,1.0
party orders,228623.53,1,-0.2987042589662947,52.926010218749724,228623.53129242721,0.0
party orders,226340.49,1,-0.2987042589662947,52.926010218749724,228623.53129242721,0.0
delicious rib,0.0,1,-5.933330000000001,54.583330000000004,0.0,1.0
bechaemel sauce,0.0,1,-1.6139599999999998,54.97328,0.0,1.0
we peel,0.0,1,-1.54785,53.79648,0.0,1.0
tikka served,0.0,1,-2.97489,56.46913,0.0,1.0
strangers from,0.0,1,-5.066539999999999,50.15201,1.1641532182693481e-10,1.0
s mini,0.0,1,-1.4659000000000002,53.38296999999999,0.0,1.0
each available,0.0,1,-2.1853799999999994,53.004149999999996,5.587935447692871e-09,1.0
fresh daily,0.0,1,-0.09184000000000002,51.512789999999995,0.0,1.0
s mine,0.0,1,-1.51217,52.40656,0.0,1.0
wings plain,0.0,1,-1.4659000000000002,53.38296999999999,0.0,1.0
with tartar,587005.04,1,-3.012764592590294,55.530511723036376,216410.28416850453,0.25
with tartar,85738.02,1,-3.012764592590294,55.530511723036376,216410.28416850453,0.25
with tartar,153363.87,1,-3.012764592590294,55.530511723036376,216410.28416850453,0.25
with tartar,216410.28,1,-3.012764592590294,55.530511723036376,216410.28416850453,0.25
find it,0.0,1,-2.9320600000000003,54.89228000000001,0.0,1.0
breast steaks,0.0,2,-3.19648,55.95206,0.0,1.0
ketchup dip,350838.05,1,-2.878468672652003,54.51495546806053,350838.0545030768,0.2
ketchup dip,640363.02,1,-2.878468672652003,54.51495546806053,350838.0545030768,0.2
ketchup dip,339937.75,1,-2.878468672652003,54.51495546806053,350838.0545030768,0.2
ketchup dip,183353.34,1,-2.878468672652003,54.51495546806053,350838.0545030768,0.2
ketchup dip,282493.61,1,-2.878468672652003,54.51495546806053,350838.0545030768,0.2
our corned,0.0,1,-3.1799999999999997,51.47999999999999,0.0,1.0
we went,0.0,1,-5.066539999999999,50.15201,1.1641532182693481e-10,1.0
swan church,0.0,1,-2.1853799999999994,53.004149999999996,5.587935447692871e-09,1.0
a fresh,331788.2,1,-3.553218528381741,53.84865759729378,576021.8888902387,0.0
