word,coordinations
steak,"50.15201,-5.06654 50.37771,-4.14082 50.71936,-3.53271 50.71936,-3.53271 50.83333,0.13333 50.83333,0.13333 51.45523,-2.59665 51.45523,-2.59665 51.45523,-2.59665 51.45523,-2.59665 51.48,-3.18 51.48,-3.18 51.48,-3.18 51.48,-3.18 51.48,-3.18 51.48,-3.18 51.51279,-0.09184 51.51279,-0.09184 51.51279,-0.09184 51.51279,-0.09184 51.51279,-0.09184 51.51279,-0.09184 51.62125,-3.94490 51.62125,-3.94490 52.05834,1.15472 52.05834,1.15472 52.05834,1.15472 52.20765,0.13200 52.20765,0.13200 52.40656,-1.51217 52.40656,-1.51217 52.40656,-1.51217 52.40656,-1.51217 52.48142,-1.89983 52.48142,-1.89983 52.48142,-1.89983 52.48142,-1.89983 52.48142,-1.89983 52.48142,-1.89983 52.48142,-1.89983 52.63220,1.28925 52.63220,1.28925 52.6386,-1.13169 52.6386,-1.13169 52.6386,-1.13169 52.6386,-1.13169 52.6386,-1.13169 52.6386,-1.13169 52.6386,-1.13169 52.6386,-1.13169 52.9536,-1.15047 52.9536,-1.15047 52.9536,-1.15047 52.9536,-1.15047 52.9536,-1.15047 52.9536,-1.15047 52.9536,-1.15047 52.9536,-1.15047 52.9536,-1.15047 52.9536,-1.15047 52.9536,-1.15047 53.00415,-2.18538 53.00415,-2.18538 53.00415,-2.18538 53.00415,-2.18538 53.00415,-2.18538 53.00415,-2.18538 53.38297,-1.4659 53.38297,-1.4659 53.38297,-1.4659 53.38297,-1.4659 53.38297,-1.4659 53.38297,-1.4659 53.41058,-2.97794 53.41058,-2.97794 53.41058,-2.97794 53.41058,-2.97794 53.48095,-2.23743 53.48095,-2.23743 53.48095,-2.23743 53.48095,-2.23743 53.48095,-2.23743 53.7446,-0.33525 53.79391,-1.75206 53.79391,-1.75206 53.79391,-1.75206 53.79391,-1.75206 53.79648,-1.54785 53.79648,-1.54785 53.79648,-1.54785 54.32822,-2.74565 54.57309,-1.23258 54.58333,-5.93333 54.58333,-5.93333 54.66411,-2.75257 54.77560,-1.58374 54.77560,-1.58374 54.77560,-1.58374 54.77560,-1.58374 54.77560,-1.58374 54.77560,-1.58374 54.89228,-2.93206 54.89228,-2.93206 54.89228,-2.93206 54.89228,-2.93206 54.90465,-1.38222 54.97328,-1.61396 54.97328,-1.61396 55.07216,-3.60218 55.07216,-3.60218 55.07216,-3.60218 55.07216,-3.60218 55.45862,-4.62849 55.45862,-4.62849 55.45862,-4.62849 55.45862,-4.62849 55.86515,-4.25763 55.86515,-4.25763 55.86515,-4.25763 55.86515,-4.25763 55.86515,-4.25763 55.86515,-4.25763 55.86515,-4.25763 55.86515,-4.25763 55.86515,-4.25763 55.86515,-4.25763 55.86515,-4.25763 55.86515,-4.25763 55.86515,-4.25763 55.86515,-4.25763 55.86515,-4.25763 55.95206,-3.19648 55.95206,-3.19648 55.95206,-3.19648 55.95206,-3.19648 55.95206,-3.19648 55.95206,-3.19648 55.95206,-3.19648 55.95206,-3.19648 55.95206,-3.19648 55.95206,-3.19648 55.95206,-3.19648 55.95206,-3.19648 56.46913,-2.97489 56.46913,-2.97489 56.46913,-2.97489 56.46913,-2.97489 56.46913,-2.97489 56.46913,-2.97489 57.14369,-2.09814 57.14369,-2.09814 57.47908,-4.22398"
quarter pizza crunch,"55.86515,-4.25763 55.86515,-4.25763"
tea coffee,"53.00415,-2.18538 53.79648,-1.54785"
sausage hamburger pudding,"55.86515,-4.25763"
lemonade,"51.51279,-0.09184 53.48095,-2.23743 53.79391,-1.75206 53.79648,-1.54785 53.79648,-1.54785 54.58333,-5.93333 54.77560,-1.58374 54.77560,-1.58374 55.86515,-4.25763 55.86515,-4.25763 55.86515,-4.25763 55.95206,-3.19648 55.95206,-3.19648"
lamb kofte naan,"52.6386,-1.13169"
wibsey,"53.79391,-1.75206"
railway street,"54.90465,-1.38222"
chips pepperoni,"54.97328,-1.61396"
breadcrumb cod,"53.00415,-2.18538"
mint choc chip strawberries,"52.9536,-1.15047 52.9536,-1.15047"
pepperoni peppers onions,"53.79648,-1.54785"
tomato cheese ham pineapple,"54.77560,-1.58374 54.97328,-1.61396"
coronation cold roll,"55.86515,-4.25763"
suppers potato fritters,"57.14369,-2.09814"
rabbit style,"54.58333,-5.93333"
terms,"51.51279,-0.09184 52.20765,0.13200 52.40656,-1.51217 52.48142,-1.89983 52.48142,-1.89983 52.48142,-1.89983 52.63220,1.28925 52.9536,-1.15047 52.9536,-1.15047 52.9536,-1.15047 52.9536,-1.15047 52.9536,-1.15047 53.00415,-2.18538 53.00415,-2.18538 53.79391,-1.75206 53.79391,-1.75206 53.79391,-1.75206 53.79391,-1.75206 53.79648,-1.54785 54.57309,-1.23258 54.58333,-5.93333 54.77560,-1.58374 54.89228,-2.93206 54.89228,-2.93206 54.89228,-2.93206 54.97328,-1.61396 54.97328,-1.61396 55.07216,-3.60218 55.07216,-3.60218 56.46913,-2.97489 56.46913,-2.97489 57.14369,-2.09814"
fillings cheese mushroom bacon onion ham chicken,"55.95206,-3.19648"
springroll,"55.95206,-3.19648"
falmouth,"50.15201,-5.06654 50.15201,-5.06654"
torino pizza,"55.86515,-4.25763"
chicken chicken mediterranean onion pepper,"53.00415,-2.18538"
lettuce tomato onion,"50.15201,-5.06654"
hygiene standard,"53.79648,-1.54785"
kung po,"53.41058,-2.97794 54.89228,-2.93206"
meat chicken,"54.90465,-1.38222"
lamb mazaedar,"56.46913,-2.97489"
hollinwood avenue,"53.48095,-2.23743"
pieces chicken chips,"52.9536,-1.15047"
kitchen,"52.9536,-1.15047 52.9536,-1.15047"
cod cone chips,"52.48142,-1.89983"
climate,"55.95206,-3.19648"
swanton,"50.15201,-5.06654"
chicken breast fillets,"51.51279,-0.09184 55.95206,-3.19648"
chicken tikka baguette,"53.79648,-1.54785"
egg sausage,"54.58333,-5.93333"
chili chicken,"54.89228,-2.93206"
neeps,"55.86515,-4.25763 55.95206,-3.19648"
drink cans,"53.48095,-2.23743"
hummus,"52.20765,0.13200 52.9536,-1.15047 52.9536,-1.15047 57.14369,-2.09814"
cob,"52.6386,-1.13169 52.6386,-1.13169 52.9536,-1.15047 52.9536,-1.15047 52.9536,-1.15047 52.9536,-1.15047 53.38297,-1.4659"
cod,"50.15201,-5.06654 50.15201,-5.06654 50.15201,-5.06654 50.37771,-4.14082 50.37771,-4.14082 50.71936,-3.53271 50.71936,-3.53271 50.83333,0.13333 50.83333,0.13333 51.45523,-2.59665 51.45523,-2.59665 51.45523,-2.59665 51.45523,-2.59665 51.45523,-2.59665 51.48,-3.18 51.48,-3.18 51.48,-3.18 51.48,-3.18 51.48,-3.18 51.48,-3.18 51.51279,-0.09184 51.51279,-0.09184 51.51279,-0.09184 51.51279,-0.09184 51.51279,-0.09184 51.51279,-0.09184 51.51279,-0.09184 51.51279,-0.09184 51.51279,-0.09184 51.51279,-0.09184 51.62125,-3.94490 51.62125,-3.94490 52.05834,1.15472 52.05834,1.15472 52.20765,0.13200 52.20765,0.13200 52.40656,-1.51217 52.40656,-1.51217 52.40656,-1.51217 52.40656,-1.51217 52.48142,-1.89983 52.48142,-1.89983 52.48142,-1.89983 52.48142,-1.89983 52.48142,-1.89983 52.48142,-1.89983 52.48142,-1.89983 52.48142,-1.89983 52.48142,-1.89983 52.63220,1.28925 52.63220,1.28925 52.6386,-1.13169 52.6386,-1.13169 52.6386,-1.13169 52.6386,-1.13169 52.6386,-1.13169 52.6386,-1.13169 52.6386,-1.13169 52.9536,-1.15047 52.9536,-1.15047 52.9536,-1.15047 52.9536,-1.15047 52.9536,-1.15047 52.9536,-1.15047 52.9536,-1.15047 52.9536,-1.15047 52.9536,-1.15047 52.9536,-1.15047 53.00415,-2.18538 53.00415,-2.18538 53.00415,-2.18538 53.00415,-2.18538 53.38297,-1.4659 53.38297,-1.4659 53.38297,-1.4659 53.38297,-1.4659 53.38297,-1.4659 53.38297,-1.4659 53.41058,-2.97794 53.41058,-2.97794 53.41058,-2.97794 53.48095,-2.23743 53.48095,-2.23743 53.48095,-2.23743 53.48095,-2.23743 53.7446,-0.33525 53.7446,-0.33525 53.7446,-0.33525 53.79648,-1.54785 53.79648,-1.54785 54.57309,-1.23258 54.57309,-1.23258 54.58333,-5.93333 54.58333,-5.93333 54.58333,-5.93333 54.58333,-5.93333 54.58333,-5.93333 54.77560,-1.58374 54.77560,-1.58374 54.77560,-1.58374 54.77560,-1.58374 54.89228,-2.93206 54.90465,-1.38222 54.90465,-1.38222 54.97328,-1.61396 54.97328,-1.61396 54.97328,-1.61396 54.97328,-1.61396 55.86515,-4.25763 56.46913,-2.97489"
kebab burger,"52.48142,-1.89983 52.48142,-1.89983 52.48142,-1.89983 54.57309,-1.23258 54.89228,-2.93206"
king chilli masala,"56.46913,-2.97489"
kids chicken meat,"52.9536,-1.15047 52.9536,-1.15047 52.9536,-1.15047"
com,"54.57309,-1.23258"
mussel tuna anchovy,"55.95206,-3.19648"
quarter pounder chicken burger,"51.45523,-2.59665 52.20765,0.13200 52.9536,-1.15047 52.9536,-1.15047 53.79391,-1.75206 53.79391,-1.75206 54.57309,-1.23258 54.89228,-2.93206 54.89228,-2.93206 54.89228,-2.93206 54.97328,-1.61396 55.07216,-3.60218"
garnishing,"52.6386,-1.13169"
retweet,"51.51279,-0.09184"
pepperoni ham bacon,"52.9536,-1.15047"
fungi pie,"51.45523,-2.59665"
bbq base cheese,"54.97328,-1.61396"
delta juice carton,"52.48142,-1.89983"
chicken chip,"54.58333,-5.93333"
cheese chips,"52.05834,1.15472 52.9536,-1.15047 53.79648,-1.54785 54.57309,-1.23258 54.58333,-5.93333 54.77560,-1.58374 54.97328,-1.61396 55.07216,-3.60218"
curry sauce onions,"54.89228,-2.93206"
rio can,"54.77560,-1.58374 54.97328,-1.61396"
sauce gf,"55.95206,-3.19648"
kebab feast,"52.63220,1.28925 54.97328,-1.61396"
sauvignon venezie,"55.95206,-3.19648"
hudson road,"53.79648,-1.54785"
families,"53.79391,-1.75206 54.58333,-5.93333"
catering,"53.38297,-1.4659"
picante,"55.95206,-3.19648"
grill fish,"53.79391,-1.75206"
whatsapp,"53.48095,-2.23743 53.48095,-2.23743"
kids burger,"52.40656,-1.51217 52.9536,-1.15047 52.9536,-1.15047 53.41058,-2.97794 54.58333,-5.93333 54.58333,-5.93333 54.58333,-5.93333 54.97328,-1.61396 57.14369,-2.09814"
pizza donner meat,"55.86515,-4.25763"
chickenmushroomsonionsfresh chilli,"57.47908,-4.22398"
inch peperoni,"54.89228,-2.93206"
sausage beef ham bacon,"52.20765,0.13200"
onion rings,"50.15201,-5.06654 50.15201,-5.06654 50.15201,-5.06654 50.37771,-4.14082 50.37771,-4.14082 50.71936,-3.53271 50.71936,-3.53271 50.83333,0.13333 50.83333,0.13333 50.83333,0.13333 51.45523,-2.59665 51.45523,-2.59665 51.45523,-2.59665 51.45523,-2.59665 51.48,-3.18 51.48,-3.18 51.48,-3.18 51.48,-3.18 51.51279,-0.09184 51.51279,-0.09184 51.51279,-0.09184 51.62125,-3.94490 52.05834,1.15472 52.20765,0.13200 52.20765,0.13200 52.40656,-1.51217 52.40656,-1.51217 52.40656,-1.51217 52.48142,-1.89983 52.48142,-1.89983 52.48142,-1.89983 52.48142,-1.89983 52.48142,-1.89983 52.48142,-1.89983 52.63220,1.28925 52.6386,-1.13169 52.6386,-1.13169 52.6386,-1.13169 52.6386,-1.13169 52.6386,-1.13169 52.9536,-1.15047 52.9536,-1.15047 52.9536,-1.15047 52.9536,-1.15047 52.9536,-1.15047 52.9536,-1.15047 52.9536,-1.15047 52.9536,-1.15047 52.9536,-1.15047 53.00415,-2.18538 53.00415,-2.18538 53.00415,-2.18538 53.38297,-1.4659 53.38297,-1.4659 53.38297,-1.4659 53.38297,-1.4659 53.41058,-2.97794 53.41058,-2.97794 53.48095,-2.23743 53.48095,-2.23743 53.48095,-2.23743 53.7446,-0.33525 53.79391,-1.75206 53.79391,-1.75206 53.79648,-1.54785 53.79648,-1.54785 53.79648,-1.54785 53.79648,-1.54785 53.79648,-1.54785 54.32822,-2.74565 54.57309,-1.23258 54.57309,-1.23258 54.58333,-5.93333 54.58333,-5.93333 54.58333,-5.93333 54.58333,-5.93333 54.58333,-5.93333 54.66411,-2.75257 54.77560,-1.58374 54.77560,-1.58374 54.77560,-1.58374 54.77560,-1.58374 54.77560,-1.58374 54.89228,-2.93206 54.89228,-2.93206 54.89228,-2.93206 54.90465,-1.38222 54.90465,-1.38222 54.90465,-1.38222 54.97328,-1.61396 54.97328,-1.61396 54.97328,-1.61396 54.97328,-1.61396 54.97328,-1.61396 54.97328,-1.61396 54.97328,-1.61396 55.07216,-3.60218 55.07216,-3.60218 55.07216,-3.60218 55.07216,-3.60218 55.45862,-4.62849 55.45862,-4.62849 55.45862,-4.62849 55.45862,-4.62849 55.86515,-4.25763 55.86515,-4.25763 55.86515,-4.25763 55.86515,-4.25763 55.86515,-4.25763 55.86515,-4.25763 55.86515,-4.25763 55.86515,-4.25763 55.86515,-4.25763 55.86515,-4.25763 55.86515,-4.25763 55.86515,-4.25763 55.86515,-4.25763 55.86515,-4.25763 55.86515,-4.25763 55.95206,-3.19648 55.95206,-3.19648 55.95206,-3.19648 55.95206,-3.19648 55.95206,-3.19648 55.95206,-3.19648 55.95206,-3.19648 55.95206,-3.19648 55.95206,-3.19648 55.95206,-3.19648 55.95206,-3.19648 55.95206,-3.19648 55.95206,-3.19648 56.46913,-2.97489 56.46913,-2.97489 56.46913,-2.97489 56.46913,-2.97489 56.46913,-2.97489 56.46913,-2.97489 57.14369,-2.09814 57.14369,-2.09814 57.47908,-4.22398 57.47908,-4.22398"
savories,"51.51279,-0.09184"
onion pepper jalapeno,"52.9536,-1.15047"
service times,"52.48142,-1.89983 52.63220,1.28925 52.9536,-1.15047 52.9536,-1.15047 52.9536,-1.15047 52.9536,-1.15047 53.00415,-2.18538 53.79391,-1.75206 53.79391,-1.75206 54.89228,-2.93206 54.97328,-1.61396 55.07216,-3.60218 55.07216,-3.60218 56.46913,-2.97489 56.46913,-2.97489"
meal panini,"52.48142,-1.89983"
nutella milk,"52.40656,-1.51217"
donner kebab naan,"52.6386,-1.13169 53.48095,-2.23743 53.79648,-1.54785"
cookies usage,"53.38297,-1.4659"
suey roll,"53.41058,-2.97794 53.41058,-2.97794 53.41058,-2.97794 54.77560,-1.58374 54.77560,-1.58374 54.77560,-1.58374 54.77560,-1.58374 54.77560,-1.58374 54.90465,-1.38222 54.90465,-1.38222 54.97328,-1.61396 54.97328,-1.61396 54.97328,-1.61396"
pie dinner,"53.41058,-2.97794 53.41058,-2.97794 53.41058,-2.97794"
belfast bt,"54.58333,-5.93333"
haggs pudding,"57.47908,-4.22398"
souvalakis,"54.90465,-1.38222"
jerry,"52.9536,-1.15047 55.07216,-3.60218 56.46913,-2.97489 57.14369,-2.09814"
fish stews,"54.89228,-2.93206"
caffe,"51.51279,-0.09184"
onion mushroom tomato cheese,"54.77560,-1.58374"
spam fritter,"50.37771,-4.14082 52.6386,-1.13169 52.6386,-1.13169 52.6386,-1.13169 52.6386,-1.13169 52.9536,-1.15047 53.00415,-2.18538 53.38297,-1.4659 53.41058,-2.97794 53.41058,-2.97794 53.7446,-0.33525 53.79391,-1.75206 53.79391,-1.75206 53.79391,-1.75206 53.79648,-1.54785 53.79648,-1.54785 54.57309,-1.23258 54.77560,-1.58374 54.77560,-1.58374 54.77560,-1.58374 54.90465,-1.38222 54.90465,-1.38222 54.97328,-1.61396 54.97328,-1.61396 56.46913,-2.97489 56.46913,-2.97489 56.46913,-2.97489 56.46913,-2.97489"
barbecue grill,"50.83333,0.13333"
ice cream sponge,"55.86515,-4.25763"
kids chicken kebab,"52.48142,-1.89983"
hand,"51.51279,-0.09184"
kids meal pizza slice,"55.86515,-4.25763"
sausage meal kids,"51.48,-3.18 51.48,-3.18"
quarter pounder mushroom burger,"52.9536,-1.15047"
pizza con cipole,"55.86515,-4.25763"
sauce kwenchy cup,"54.97328,-1.61396"
meat donner kebab,"53.38297,-1.4659"
bio boxes,"53.79391,-1.75206"
condiments,"53.79391,-1.75206 55.86515,-4.25763"
chocolate mint chip ice cream oyster,"55.86515,-4.25763"
copyright city restaurant,"55.95206,-3.19648"
cod haddock dil chives lemon juice,"54.97328,-1.61396"
udon,"54.89228,-2.93206"
jam poly,"53.79391,-1.75206 53.79648,-1.54785"
contact,"50.37771,-4.14082 50.83333,0.13333 51.45523,-2.59665 51.48,-3.18 51.48,-3.18 51.51279,-0.09184 51.51279,-0.09184 52.05834,1.15472 52.05834,1.15472 52.63220,1.28925 52.9536,-1.15047 53.38297,-1.4659 53.48095,-2.23743 53.7446,-0.33525 54.57309,-1.23258 54.58333,-5.93333 54.58333,-5.93333 54.58333,-5.93333 54.58333,-5.93333 54.58333,-5.93333 54.58333,-5.93333 54.66411,-2.75257 54.97328,-1.61396 54.97328,-1.61396 55.95206,-3.19648"
chicken vindaloo,"52.6386,-1.13169 56.46913,-2.97489"
inch pizza doner,"54.97328,-1.61396"
oasis citrus bottle,"53.79391,-1.75206 54.77560,-1.58374 54.97328,-1.61396"
donner cob,"52.6386,-1.13169 52.6386,-1.13169 52.9536,-1.15047 52.9536,-1.15047 53.38297,-1.4659"
piri sauce,"52.6386,-1.13169 53.79648,-1.54785 54.89228,-2.93206"
chicken donner,"52.48142,-1.89983 53.79391,-1.75206 53.79391,-1.75206"
glenfiddich,"55.95206,-3.19648"
langoustine tails burgers,"55.86515,-4.25763"
mushrooms onions tomato slices,"52.48142,-1.89983"
half spring chicken,"52.48142,-1.89983 52.6386,-1.13169"
alla vincenzo penne,"55.95206,-3.19648"
slush medium,"55.86515,-4.25763"
coleslaw salad box,"52.6386,-1.13169"
velvety finish,"55.95206,-3.19648"
sauce coke,"53.79391,-1.75206"
fritters chips,"50.15201,-5.06654"
inch pepperoni,"52.48142,-1.89983 52.48142,-1.89983 52.63220,1.28925 52.9536,-1.15047 52.9536,-1.15047 52.9536,-1.15047 52.9536,-1.15047 53.00415,-2.18538 53.79391,-1.75206 53.79391,-1.75206 54.57309,-1.23258 54.77560,-1.58374 54.89228,-2.93206 54.89228,-2.93206 54.97328,-1.61396 54.97328,-1.61396 55.07216,-3.60218 55.07216,-3.60218 56.46913,-2.97489"
gateau,"54.89228,-2.93206 54.97328,-1.61396"
cost enjoy,"53.7446,-0.33525"
cognac,"51.51279,-0.09184 55.95206,-3.19648"
board,"51.51279,-0.09184 53.79391,-1.75206"
cliquot label brut,"53.79648,-1.54785"
beef relish,"53.48095,-2.23743"
beef onion peppers,"52.9536,-1.15047 54.77560,-1.58374 54.97328,-1.61396"
tango apple,"51.48,-3.18 53.79391,-1.75206 56.46913,-2.97489 57.47908,-4.22398"
saag punjabi,"52.6386,-1.13169"
mayo,"50.83333,0.13333 51.45523,-2.59665 51.45523,-2.59665 51.45523,-2.59665 51.48,-3.18 52.05834,1.15472 52.40656,-1.51217 52.48142,-1.89983 52.48142,-1.89983 52.6386,-1.13169 52.6386,-1.13169 52.6386,-1.13169 52.6386,-1.13169 52.9536,-1.15047 52.9536,-1.15047 52.9536,-1.15047 52.9536,-1.15047 53.00415,-2.18538 53.38297,-1.4659 53.48095,-2.23743 53.48095,-2.23743 53.7446,-0.33525 53.79391,-1.75206 53.79391,-1.75206 53.79648,-1.54785 53.79648,-1.54785 53.79648,-1.54785 54.58333,-5.93333 54.58333,-5.93333 54.58333,-5.93333 54.58333,-5.93333 54.77560,-1.58374 54.89228,-2.93206 54.89228,-2.93206 54.90465,-1.38222 54.97328,-1.61396 54.97328,-1.61396 55.07216,-3.60218 55.86515,-4.25763 55.86515,-4.25763 55.86515,-4.25763 55.86515,-4.25763 55.86515,-4.25763 55.86515,-4.25763 55.86515,-4.25763 55.95206,-3.19648 55.95206,-3.19648 55.95206,-3.19648 55.95206,-3.19648 55.95206,-3.19648 56.46913,-2.97489 56.46913,-2.97489 57.47908,-4.22398"
boxes,"52.9536,-1.15047 53.38297,-1.4659 53.79648,-1.54785 55.07216,-3.60218 55.86515,-4.25763 57.14369,-2.09814 57.14369,-2.09814"
rack bbq ribs,"51.62125,-3.94490"
contact information,"52.63220,1.28925"
ice cream tubs,"55.07216,-3.60218"
steak mushrooms peppers,"54.58333,-5.93333"
staple ingredient,"54.89228,-2.93206"
chips cheese,"50.15201,-5.06654 51.45523,-2.59665 51.48,-3.18 51.48,-3.18 54.32822,-2.74565 54.66411,-2.75257 54.77560,-1.58374 54.89228,-2.93206 54.89228,-2.93206 54.89228,-2.93206 55.45862,-4.62849 55.45862,-4.62849 55.86515,-4.25763 55.86515,-4.25763 55.86515,-4.25763 55.86515,-4.25763 55.86515,-4.25763 55.95206,-3.19648 55.95206,-3.19648 55.95206,-3.19648 56.46913,-2.97489 56.46913,-2.97489 57.14369,-2.09814"
mushroom peppers onion jalapeno,"52.40656,-1.51217"
pizza crunch supper,"55.86515,-4.25763 55.86515,-4.25763 55.86515,-4.25763 55.86515,-4.25763"
bag box,"51.51279,-0.09184"
night,"51.45523,-2.59665 51.51279,-0.09184 53.41058,-2.97794 55.86515,-4.25763"
cheese cakehaagen,"52.9536,-1.15047"
quality fishbarpizza salsa,"52.9536,-1.15047"
sausage bacon beans,"52.40656,-1.51217"
seaside,"52.9536,-1.15047 52.9536,-1.15047"
life pizzas,"52.40656,-1.51217"
food labelling regulations,"54.97328,-1.61396"
sundries,"52.40656,-1.51217 52.48142,-1.89983 52.6386,-1.13169 52.6386,-1.13169 52.6386,-1.13169 52.6386,-1.13169 53.38297,-1.4659 53.41058,-2.97794 53.48095,-2.23743 53.79648,-1.54785 53.79648,-1.54785 54.58333,-5.93333 54.77560,-1.58374 54.77560,-1.58374 54.77560,-1.58374 54.90465,-1.38222 54.90465,-1.38222 54.90465,-1.38222 54.97328,-1.61396 54.97328,-1.61396 54.97328,-1.61396 54.97328,-1.61396 55.86515,-4.25763 55.86515,-4.25763 56.46913,-2.97489"
salad garlic,"54.77560,-1.58374"
taco sauce,"54.58333,-5.93333"
fish pattie,"53.7446,-0.33525 53.7446,-0.33525 54.57309,-1.23258 54.90465,-1.38222"
mozzarella tomato sauce chicken peppers onion,"53.48095,-2.23743"
crush bottle,"52.48142,-1.89983"
party bucket,"52.9536,-1.15047 54.77560,-1.58374"
comments,"52.20765,0.13200 52.48142,-1.89983 52.48142,-1.89983 52.63220,1.28925 52.9536,-1.15047 52.9536,-1.15047 52.9536,-1.15047 52.9536,-1.15047 52.9536,-1.15047 53.00415,-2.18538 53.00415,-2.18538 53.41058,-2.97794 53.79391,-1.75206 53.79391,-1.75206 53.79391,-1.75206 53.79648,-1.54785 53.79648,-1.54785 54.57309,-1.23258 54.77560,-1.58374 54.89228,-2.93206 54.89228,-2.93206 54.89228,-2.93206 54.97328,-1.61396 54.97328,-1.61396 55.07216,-3.60218 55.07216,-3.60218 56.46913,-2.97489 56.46913,-2.97489 57.14369,-2.09814"
inch farmhouse,"52.48142,-1.89983 53.00415,-2.18538 55.07216,-3.60218 56.46913,-2.97489"
bbq sauce base bbq chicken onion pepper,"54.77560,-1.58374"
tuna crust,"54.77560,-1.58374"
fish cake supper,"55.45862,-4.62849 55.95206,-3.19648 55.95206,-3.19648 57.14369,-2.09814"
chicken doner onion,"52.9536,-1.15047"
szechuan lamb,"52.20765,0.13200"
mozzarella cheese chilli sauce,"54.89228,-2.93206"
browser settings,"53.48095,-2.23743"
marketing,"54.97328,-1.61396"
onions peppers tomato,"55.95206,-3.19648"
post,"53.48095,-2.23743"
lettuce onion sauce,"50.83333,0.13333"
chicken kong style,"50.71936,-3.53271 52.20765,0.13200 54.89228,-2.93206"
potato butter,"55.86515,-4.25763"
ham pepperoni jalapeno,"52.48142,-1.89983"
months,"53.79391,-1.75206 55.86515,-4.25763 55.95206,-3.19648"
chicken sizzler burger,"53.48095,-2.23743"
takeaway service,"50.15201,-5.06654"
visa,"53.79391,-1.75206"
dip parmesan,"54.97328,-1.61396"
cadbury,"56.46913,-2.97489"
pineapple olives rocket,"55.95206,-3.19648"
person spring rolls tofu,"52.20765,0.13200"
mushroomsonionspepperoni,"57.47908,-4.22398"
spring onion,"50.71936,-3.53271 52.20765,0.13200 52.48142,-1.89983 53.41058,-2.97794 53.41058,-2.97794 53.41058,-2.97794 55.95206,-3.19648"
mussels land squid,"54.89228,-2.93206"
batter haddock,"53.00415,-2.18538"
kids chicken leg,"52.40656,-1.51217"
burger bun,"55.95206,-3.19648"
bean sauce king,"55.45862,-4.62849"
mamma special,"55.86515,-4.25763"
chicken mayo salad box,"55.86515,-4.25763"
blogreel,"53.79391,-1.75206"
lamb spinach,"56.46913,-2.97489"
coast road,"50.83333,0.13333"
nuggets meal,"53.38297,-1.4659 53.38297,-1.4659"
fish fillet,"54.90465,-1.38222"
rajshahi egg bhuna,"52.6386,-1.13169"
way,"50.15201,-5.06654 51.62125,-3.94490 52.20765,0.13200 52.40656,-1.51217 52.48142,-1.89983 52.48142,-1.89983 52.63220,1.28925 52.9536,-1.15047 52.9536,-1.15047 52.9536,-1.15047 52.9536,-1.15047 52.9536,-1.15047 53.00415,-2.18538 53.00415,-2.18538 53.38297,-1.4659 53.7446,-0.33525 53.79391,-1.75206 53.79391,-1.75206 53.79391,-1.75206 53.79391,-1.75206 53.79648,-1.54785 54.57309,-1.23258 54.77560,-1.58374 54.89228,-2.93206 54.89228,-2.93206 54.89228,-2.93206 54.97328,-1.61396 54.97328,-1.61396 55.07216,-3.60218 55.07216,-3.60218 56.46913,-2.97489 56.46913,-2.97489 57.14369,-2.09814"
ice cream drink,"55.07216,-3.60218"
tints,"51.51279,-0.09184"
jerry vanilla ice cream,"55.07216,-3.60218"
inch napoli,"52.63220,1.28925 54.97328,-1.61396"
lamb phall,"52.6386,-1.13169"
haagen belgium chocolate,"52.20765,0.13200"
plymouth,"50.37771,-4.14082"
sauce jalapenos,"53.38297,-1.4659"
fat content,"53.7446,-0.33525"
takeaway menu,"50.15201,-5.06654 51.51279,-0.09184 51.51279,-0.09184 52.6386,-1.13169 52.9536,-1.15047 52.9536,-1.15047 53.38297,-1.4659 53.79648,-1.54785 54.58333,-5.93333 54.66411,-2.75257 54.89228,-2.93206 55.86515,-4.25763"
request,"50.71936,-3.53271 52.9536,-1.15047 52.9536,-1.15047 53.00415,-2.18538 53.79391,-1.75206 53.79648,-1.54785 54.77560,-1.58374 54.90465,-1.38222 55.07216,-3.60218"
beef savoury,"54.77560,-1.58374 54.90465,-1.38222 54.97328,-1.61396"
evidence,"53.79391,-1.75206"
expertise,"53.7446,-0.33525"
gabby kurdyla,"50.15201,-5.06654"
cheese tomato donner meat,"54.77560,-1.58374"
toppings bag,"55.86515,-4.25763"
chicken sides,"52.40656,-1.51217"
baguette,"53.79648,-1.54785 53.79648,-1.54785 54.58333,-5.93333 55.86515,-4.25763 55.95206,-3.19648"
herbs charcoal,"53.41058,-2.97794"
fingerlicking wraps,"52.40656,-1.51217"
fish chips scampi chips chicken popcorn chips cans,"53.00415,-2.18538"
stake,"53.38297,-1.4659"
half soda bacon,"54.58333,-5.93333"
haddock chips,"50.15201,-5.06654 51.48,-3.18 51.51279,-0.09184 53.79391,-1.75206 53.79648,-1.54785 57.14369,-2.09814"
mushroom onion chicken,"54.90465,-1.38222"
yoghurt chicken,"55.95206,-3.19648"
min bunch,"55.86515,-4.25763"
juices,"50.15201,-5.06654"
welcome,"53.79648,-1.54785"
update,"50.15201,-5.06654"
north haddock,"57.47908,-4.22398"
chicken tikka curry,"56.46913,-2.97489"
mazaedar sauce,"56.46913,-2.97489"
walton,"53.41058,-2.97794"
pounder cheese onion ring mushrooms egg bacon,"54.58333,-5.93333"
soya mince masala,"52.6386,-1.13169"
scores,"54.58333,-5.93333"
