word,regional
donner kebab,"[0.5000000049998334, 0.49999999500016656]"
diet coke,"[0.5000000049998334, 0.49999999500016656]"
chicken wrap,"[0.5000000049998334, 0.49999999500016656]"
rice,"[0.5000000049998334, 0.49999999500016656]"
wrap,"[0.5000000049998334, 0.49999999500016656]"
cocacola,"[0.5000000049998334, 0.49999999500016656]"
mayonnaise,"[0.5000000049998334, 0.49999999500016656]"
collection,"[0.5000000049998334, 0.49999999500016656]"
chocolate,"[0.5000000049998334, 0.49999999500016656]"
offers,"[0.5000000049998334, 0.49999999500016656]"
donner meat,"[0.5000000049998334, 0.49999999500016656]"
seafood,"[0.5000000049998334, 0.49999999500016656]"
kids meal,"[0.5000000049998334, 0.49999999500016656]"
mushroom pie,"[0.5000000049998334, 0.49999999500016656]"
donner,"[0.5000000049998334, 0.49999999500016656]"
can,"[0.5000000049998334, 0.49999999500016656]"
bun,"[0.5000000049998334, 0.49999999500016656]"
chicken fillet burger,"[0.5000000049998334, 0.49999999500016656]"
bbq sauce,"[0.5000000049998334, 0.49999999500016656]"
chip shop,"[0.5000000049998334, 0.49999999500016656]"
potato,"[0.5000000049998334, 0.49999999500016656]"
box,"[0.5000000049998334, 0.49999999500016656]"
deals,"[0.5000000049998334, 0.49999999500016656]"
delivery times,"[0.5000000049998334, 0.49999999500016656]"
kids chicken nuggets,"[0.5000000049998334, 0.49999999500016656]"
pitta,"[0.5000000049998334, 0.49999999500016656]"
option,"[0.5000000049998334, 0.49999999500016656]"
takeaway,"[0.5000000049998334, 0.49999999500016656]"
chilli,"[0.5000000049998334, 0.49999999500016656]"
way,"[0.5000000049998334, 0.49999999500016656]"
dips,"[0.5000000049998334, 0.49999999500016656]"
kidney,"[0.5000000049998334, 0.49999999500016656]"
roll,"[0.5000000049998334, 0.49999999500016656]"
bottles,"[0.5000000049998334, 0.49999999500016656]"
specials,"[0.5000000049998334, 0.49999999500016656]"
basket,"[0.5000000049998334, 0.49999999500016656]"
allergy,"[0.5000000049998334, 0.49999999500016656]"
jalapenos,"[0.5000000049998334, 0.49999999500016656]"
diet cocacola,"[0.5000000049998334, 0.49999999500016656]"
health,"[0.5000000049998334, 0.49999999500016656]"
loading,"[0.5000000049998334, 0.49999999500016656]"
ltr,"[0.5000000049998334, 0.49999999500016656]"
who,"[0.5000000049998334, 0.49999999500016656]"
bacon,"[0.5000000049998334, 0.49999999500016656]"
tango,"[0.5000000049998334, 0.49999999500016656]"
chicken curry,"[0.5000000049998334, 0.49999999500016656]"
meal deal,"[0.5000000049998334, 0.49999999500016656]"
dishes,"[0.5000000049998334, 0.49999999500016656]"
coffee,"[0.5000000049998334, 0.49999999500016656]"
tuna,"[0.5000000049998334, 0.49999999500016656]"
chicken tikka,"[0.5000000049998334, 0.49999999500016656]"
piece,"[0.5000000049998334, 0.49999999500016656]"
rights,"[0.5000000049998334, 0.49999999500016656]"
reviews,"[0.5000000049998334, 0.49999999500016656]"
place,"[0.5000000049998334, 0.49999999500016656]"
donner wrap,"[0.5000000049998334, 0.49999999500016656]"
tea,"[0.5000000049998334, 0.49999999500016656]"
starters,"[0.5000000049998334, 0.49999999500016656]"
tomato sauce,"[0.5000000049998334, 0.49999999500016656]"
calzone,"[0.5000000049998334, 0.49999999500016656]"
ketchup,"[0.5000000049998334, 0.49999999500016656]"
herbs,"[0.5000000049998334, 0.49999999500016656]"
quarter pounder,"[0.5000000049998334, 0.49999999500016656]"
prawns,"[0.5000000049998334, 0.49999999500016656]"
half pounder,"[0.5000000049998334, 0.49999999500016656]"
terms,"[0.5000000049998334, 0.49999999500016656]"
potato wedges,"[0.5000000049998334, 0.49999999500016656]"
conditions,"[0.5000000049998334, 0.49999999500016656]"
privacy policy,"[0.5000000049998334, 0.49999999500016656]"
crispy,"[0.5000000049998334, 0.49999999500016656]"
pineapple fritter,"[0.5000000049998334, 0.49999999500016656]"
