word,regional
touchsuccess allergy policies,"[0.7717796345090663, 0.22822036549093375]"
order type selection,"[0.7717796345090663, 0.22822036549093375]"
way,"[0.7739316351535129, 0.2260683648464871]"
taste,"[0.7762459787961004, 0.22375402120389964]"
masala,"[0.7779255601740646, 0.22207443982593542]"
rolls,"[0.7785850279006767, 0.22141497209932323]"
place,"[0.7787363324410866, 0.22126366755891336]"
orders,"[0.7828071156166345, 0.21719288438336545]"
privacy policy,"[0.7847116890915746, 0.21528831090842532]"
cheesecake,"[0.7866394829059203, 0.21336051709407963]"
king,"[0.7874684588439368, 0.21253154115606324]"
promotions,"[0.787824672245486, 0.21217532775451395]"
cherry coke,"[0.7899141469155536, 0.21008585308444638]"
pork,"[0.791095352346735, 0.20890464765326502]"
understanding,"[0.7955629767027877, 0.20443702329721222]"
condition,"[0.7970006098941678, 0.20299939010583226]"
pot,"[0.7994722298497616, 0.20052777015023837]"
chilli sauce,"[0.8024593721359365, 0.19754062786406346]"
meat,"[0.8045044252661262, 0.19549557473387377]"
pounder,"[0.8065633421062308, 0.19343665789376924]"
chicken wrap,"[0.8066880425520229, 0.1933119574479771]"
cans,"[0.8093679854094324, 0.19063201459056758]"
diet coke bottle,"[0.8095609621085851, 0.19043903789141486]"
delivery mins,"[0.8104454122287158, 0.18955458777128423]"
cooking,"[0.8126034674016949, 0.18739653259830516]"
sms,"[0.8126034674016949, 0.18739653259830516]"
notifications,"[0.8126034674016949, 0.18739653259830516]"
notifications emails,"[0.8126034674016949, 0.18739653259830516]"
what information protection services,"[0.8126034674016949, 0.18739653259830516]"
forms,"[0.8126034674016949, 0.18739653259830516]"
promotion,"[0.8126034674016949, 0.18739653259830516]"
email sms,"[0.8126034674016949, 0.18739653259830516]"
profile page,"[0.8126034674016949, 0.18739653259830516]"
terms,"[0.8126615143180994, 0.18733848568190056]"
wrap,"[0.8146244453895943, 0.18537555461040567]"
person,"[0.8148577411823799, 0.18514225881762017]"
potato fritter,"[0.814961910083725, 0.18503808991627504]"
cheese salad,"[0.8167953371593686, 0.18320466284063147]"
mozzarella,"[0.8207517107407981, 0.17924828925920192]"
coke bottle,"[0.8223379354973963, 0.17766206450260374]"
potato fritters,"[0.8238490282846982, 0.17615097171530175]"
conditions,"[0.8275491653632426, 0.17245083463675737]"
inch pizza,"[0.8288795543223906, 0.17112044567760945]"
margherita pizza,"[0.8298462061182041, 0.1701537938817958]"
lucozade,"[0.8315595400613034, 0.1684404599386966]"
gift,"[0.8334339512870277, 0.1665660487129723]"
toy,"[0.8339953906173655, 0.16600460938263448]"
store,"[0.8343847784990993, 0.16561522150090072]"
website,"[0.8345254557189733, 0.16547454428102668]"
fish burger,"[0.8358322921246656, 0.16416770787533438]"
cod,"[0.8359704979858126, 0.16402950201418742]"
cone,"[0.8368281317294186, 0.16317186827058133]"
beef,"[0.8376043385553484, 0.16239566144465153]"
items,"[0.837859009181242, 0.16214099081875796]"
donner meat,"[0.8402712246733444, 0.15972877532665564]"
seafood,"[0.8425266793662436, 0.15747332063375638]"
chicken meal,"[0.8435305476296733, 0.1564694523703267]"
salads,"[0.8438009144310906, 0.15619908556890938]"
