word,regional
half chicken,"[0.4407394174425281, 0.5592605825574719]"
tub,"[0.4409129567762847, 0.5590870432237153]"
salads,"[0.4413468469867535, 0.5586531530132465]"
award,"[0.44148216697744436, 0.5585178330225556]"
chicken burger meal,"[0.4419982634107178, 0.5580017365892822]"
cheesecake,"[0.44228343335266473, 0.5577165666473353]"
ben,"[0.44281100183637323, 0.5571889981636268]"
chicken pizza,"[0.44295598030704897, 0.557044019692951]"
pounder,"[0.44306243731436346, 0.5569375626856365]"
chicken goujons,"[0.4431857162067375, 0.5568142837932625]"
inch pizza,"[0.4437142041683605, 0.5562857958316395]"
family meal,"[0.4437207970468694, 0.5562792029531306]"
pizza bread,"[0.44393629848238514, 0.5560637015176149]"
chicken steak,"[0.44449960636775676, 0.5555003936322432]"
tomato ketchup,"[0.44463305848305457, 0.5553669415169454]"
pineapple fritter,"[0.4447562124423755, 0.5552437875576245]"
tango,"[0.44522394480039273, 0.5547760551996073]"
toy,"[0.44544038162199207, 0.5545596183780079]"
kids meal,"[0.44560043201258037, 0.5543995679874196]"
ribs,"[0.44590919949025565, 0.5540908005097444]"
masala,"[0.44647681429484753, 0.5535231857051525]"
inch,"[0.4465436474045521, 0.5534563525954479]"
quarter pounder cheese burger,"[0.4465921210059849, 0.5534078789940151]"
facebook,"[0.4467211963824653, 0.5532788036175347]"
pasta,"[0.4467293689034927, 0.5532706310965073]"
orders,"[0.4467293707762967, 0.5532706292237033]"
chilli sauce,"[0.4470042148343446, 0.5529957851656554]"
vegetable burger,"[0.44732684762921016, 0.5526731523707898]"
fries,"[0.44741630582286984, 0.5525836941771302]"
road,"[0.4474416950303379, 0.5525583049696621]"
side salad,"[0.4476356256117493, 0.5523643743882507]"
dishes,"[0.4479773523127033, 0.5520226476872967]"
quarter pounder chicken burger,"[0.4481417556084579, 0.5518582443915421]"
hours,"[0.44816659688743044, 0.5518334031125696]"
meal deal,"[0.448207027397018, 0.551792972602982]"
taste,"[0.44821982064461197, 0.551780179355388]"
jacket potato,"[0.4483868262695636, 0.5516131737304364]"
spaghetti,"[0.4485635669946969, 0.5514364330053031]"
mayonnaise,"[0.44860095517108667, 0.5513990448289133]"
doner meat,"[0.4487459953520335, 0.5512540046479665]"
kids cake,"[0.44875284194178067, 0.5512471580582193]"
email,"[0.4491119929369515, 0.5508880070630485]"
service times,"[0.4492814370647985, 0.5507185629352015]"
deal,"[0.4493138756389138, 0.5506861243610862]"
day,"[0.4495949962894472, 0.5504050037105528]"
slice,"[0.4497607045359058, 0.5502392954640942]"
kids sausage,"[0.45003147815521394, 0.5499685218447861]"
orange l,"[0.45013725160229057, 0.5498627483977094]"
pounder cheese burger,"[0.4502701878298546, 0.5497298121701454]"
chicken tikka wrap,"[0.45028179817593084, 0.5497182018240692]"
donner burger,"[0.4506287380666354, 0.5493712619333646]"
kebab wrap,"[0.45079979663281433, 0.5492002033671857]"
chicken fillet burger,"[0.45087313557944486, 0.5491268644205551]"
chocolate,"[0.4511536855468722, 0.5488463144531278]"
herbs,"[0.45117024068283185, 0.5488297593171682]"
mozzarella cheese,"[0.4512484646074665, 0.5487515353925335]"
doner kebab,"[0.4514244662815381, 0.5485755337184619]"
fanta l,"[0.45145357346080806, 0.548546426539192]"
margherita pizza,"[0.4514908585183006, 0.5485091414816994]"
chicken curry,"[0.45159604466760495, 0.548403955332395]"
coffee,"[0.45190518223375487, 0.5480948177662451]"
everything,"[0.45193220237044873, 0.5480677976295513]"
tea,"[0.4521057709383308, 0.5478942290616692]"
delivery mins,"[0.45254195442476497, 0.547458045575235]"
