word,coordinations
every,"51.51279,-0.09184 53.7446,-0.33525 52.9536,-1.15047 53.79648,-1.54785 53.79648,-1.54785 54.97328,-1.61396 53.79391,-1.75206 53.79391,-1.75206 53.41058,-2.97794 53.41058,-2.97794 51.48,-3.18 55.95206,-3.19648 55.95206,-3.19648 55.95206,-3.19648 55.95206,-3.19648 57.47908,-4.22398 55.86515,-4.25763 50.15201,-5.06654 50.15201,-5.06654 54.58333,-5.93333 54.58333,-5.93333 "
jack,"53.38297,-1.4659 54.89228,-2.93206 55.95206,-3.19648 55.95206,-3.19648 50.83333,0.13333 "
sulphit,"54.89228,-2.93206 51.48,-3.18 "
kick,"54.97328,-1.61396 54.58333,-5.93333 "
kilkeel,"54.58333,-5.93333 "
bringing,"50.83333,0.13333 "
excited,"54.58333,-5.93333 "
chapel,"51.51279,-0.09184 "
cancel,"50.83333,0.13333 "
founded,"55.95206,-3.19648 "
school,"51.51279,-0.09184 53.79648,-1.54785 51.48,-3.18 "
baking,"54.89228,-2.93206 "
facilities,"53.79391,-1.75206 50.37771,-4.14082 "
nutrition,"53.79391,-1.75206 "
harport,"55.95206,-3.19648 "
wednesday,"52.6386,-1.13169 52.6386,-1.13169 52.6386,-1.13169 52.6386,-1.13169 52.6386,-1.13169 52.9536,-1.15047 52.9536,-1.15047 53.38297,-1.4659 53.38297,-1.4659 52.40656,-1.51217 52.40656,-1.51217 52.40656,-1.51217 53.79648,-1.54785 53.79648,-1.54785 53.79648,-1.54785 53.79648,-1.54785 53.79648,-1.54785 53.79648,-1.54785 54.77560,-1.58374 54.77560,-1.58374 54.77560,-1.58374 54.77560,-1.58374 54.77560,-1.58374 54.97328,-1.61396 53.79391,-1.75206 53.79391,-1.75206 53.79391,-1.75206 52.48142,-1.89983 52.48142,-1.89983 52.48142,-1.89983 52.48142,-1.89983 52.48142,-1.89983 57.14369,-2.09814 53.00415,-2.18538 53.00415,-2.18538 53.48095,-2.23743 53.48095,-2.23743 53.48095,-2.23743 53.48095,-2.23743 51.45523,-2.59665 51.45523,-2.59665 54.32822,-2.74565 54.89228,-2.93206 56.46913,-2.97489 53.41058,-2.97794 53.41058,-2.97794 53.41058,-2.97794 51.48,-3.18 51.48,-3.18 55.95206,-3.19648 55.95206,-3.19648 55.95206,-3.19648 55.95206,-3.19648 55.95206,-3.19648 50.71936,-3.53271 50.71936,-3.53271 51.62125,-3.94490 55.86515,-4.25763 55.86515,-4.25763 55.86515,-4.25763 55.86515,-4.25763 55.86515,-4.25763 55.86515,-4.25763 55.86515,-4.25763 55.86515,-4.25763 55.86515,-4.25763 55.86515,-4.25763 50.15201,-5.06654 54.58333,-5.93333 54.58333,-5.93333 54.58333,-5.93333 54.58333,-5.93333 52.20765,0.13200 50.83333,0.13333 52.05834,1.15472 "
integrated,"54.97328,-1.61396 "
frozen,"54.77560,-1.58374 53.79391,-1.75206 51.48,-3.18 55.95206,-3.19648 55.95206,-3.19648 "
swansea,"51.62125,-3.94490 "
courgette,"52.9536,-1.15047 "
greenish,"51.51279,-0.09184 "
delightfully,"53.79648,-1.54785 "
harriet,"53.48095,-2.23743 "
stating,"50.15201,-5.06654 "
vincenzo,"55.95206,-3.19648 "
fritter,"51.51279,-0.09184 51.51279,-0.09184 51.51279,-0.09184 53.7446,-0.33525 53.7446,-0.33525 53.7446,-0.33525 53.7446,-0.33525 52.6386,-1.13169 52.6386,-1.13169 52.6386,-1.13169 52.6386,-1.13169 52.6386,-1.13169 52.6386,-1.13169 52.6386,-1.13169 52.6386,-1.13169 52.9536,-1.15047 52.9536,-1.15047 52.9536,-1.15047 52.9536,-1.15047 52.9536,-1.15047 52.9536,-1.15047 52.9536,-1.15047 52.9536,-1.15047 54.57309,-1.23258 54.57309,-1.23258 54.90465,-1.38222 54.90465,-1.38222 53.38297,-1.4659 52.40656,-1.51217 53.79648,-1.54785 53.79648,-1.54785 53.79648,-1.54785 53.79648,-1.54785 53.79648,-1.54785 54.77560,-1.58374 54.77560,-1.58374 54.77560,-1.58374 54.77560,-1.58374 54.97328,-1.61396 54.97328,-1.61396 54.97328,-1.61396 53.79391,-1.75206 53.79391,-1.75206 53.79391,-1.75206 53.79391,-1.75206 53.79391,-1.75206 57.14369,-2.09814 53.00415,-2.18538 53.00415,-2.18538 53.00415,-2.18538 53.00415,-2.18538 53.00415,-2.18538 53.00415,-2.18538 51.45523,-2.59665 51.45523,-2.59665 54.32822,-2.74565 54.66411,-2.75257 54.66411,-2.75257 54.66411,-2.75257 54.89228,-2.93206 56.46913,-2.97489 56.46913,-2.97489 56.46913,-2.97489 56.46913,-2.97489 56.46913,-2.97489 56.46913,-2.97489 53.41058,-2.97794 53.41058,-2.97794 51.48,-3.18 51.48,-3.18 51.48,-3.18 51.48,-3.18 51.48,-3.18 51.48,-3.18 51.48,-3.18 55.95206,-3.19648 55.95206,-3.19648 55.95206,-3.19648 55.95206,-3.19648 55.95206,-3.19648 55.95206,-3.19648 55.95206,-3.19648 50.71936,-3.53271 50.71936,-3.53271 55.07216,-3.60218 51.62125,-3.94490 50.37771,-4.14082 50.37771,-4.14082 55.86515,-4.25763 55.86515,-4.25763 55.86515,-4.25763 55.86515,-4.25763 55.86515,-4.25763 55.86515,-4.25763 55.86515,-4.25763 55.86515,-4.25763 55.86515,-4.25763 55.86515,-4.25763 55.86515,-4.25763 55.86515,-4.25763 55.86515,-4.25763 55.45862,-4.62849 55.45862,-4.62849 55.45862,-4.62849 55.45862,-4.62849 50.15201,-5.06654 50.15201,-5.06654 52.20765,0.13200 50.83333,0.13333 52.05834,1.15472 52.63220,1.28925 "
enjoy,"51.51279,-0.09184 51.51279,-0.09184 53.7446,-0.33525 53.7446,-0.33525 52.6386,-1.13169 52.9536,-1.15047 52.9536,-1.15047 53.79648,-1.54785 53.79391,-1.75206 53.48095,-2.23743 53.48095,-2.23743 54.89228,-2.93206 56.46913,-2.97489 53.41058,-2.97794 55.86515,-4.25763 50.83333,0.13333 "
farmhouse,"52.6386,-1.13169 52.9536,-1.15047 52.9536,-1.15047 53.38297,-1.4659 52.40656,-1.51217 52.40656,-1.51217 54.77560,-1.58374 52.48142,-1.89983 53.00415,-2.18538 51.45523,-2.59665 56.46913,-2.97489 55.95206,-3.19648 55.95206,-3.19648 55.07216,-3.60218 55.86515,-4.25763 54.58333,-5.93333 50.83333,0.13333 "
bradfordwho,"53.79391,-1.75206 "
specially,"52.6386,-1.13169 52.9536,-1.15047 53.41058,-2.97794 57.47908,-4.22398 52.20765,0.13200 52.63220,1.28925 "
fudgey,"55.95206,-3.19648 "
speci,"52.9536,-1.15047 52.9536,-1.15047 "
pollock,"53.48095,-2.23743 "
scorcher,"52.48142,-1.89983 "
almond,"51.51279,-0.09184 52.6386,-1.13169 53.79648,-1.54785 54.89228,-2.93206 56.46913,-2.97489 51.48,-3.18 55.45862,-4.62849 "
bacon,"52.6386,-1.13169 52.6386,-1.13169 52.9536,-1.15047 52.9536,-1.15047 52.9536,-1.15047 52.40656,-1.51217 52.40656,-1.51217 53.79648,-1.54785 53.79648,-1.54785 54.77560,-1.58374 54.97328,-1.61396 52.48142,-1.89983 57.14369,-2.09814 53.00415,-2.18538 53.00415,-2.18538 53.00415,-2.18538 53.48095,-2.23743 51.45523,-2.59665 54.89228,-2.93206 54.89228,-2.93206 54.89228,-2.93206 56.46913,-2.97489 53.41058,-2.97794 51.48,-3.18 55.95206,-3.19648 55.95206,-3.19648 55.95206,-3.19648 55.95206,-3.19648 55.95206,-3.19648 55.95206,-3.19648 55.95206,-3.19648 55.95206,-3.19648 55.95206,-3.19648 55.07216,-3.60218 55.07216,-3.60218 55.07216,-3.60218 55.86515,-4.25763 55.86515,-4.25763 55.86515,-4.25763 55.86515,-4.25763 55.86515,-4.25763 55.86515,-4.25763 54.58333,-5.93333 54.58333,-5.93333 54.58333,-5.93333 54.58333,-5.93333 54.58333,-5.93333 54.58333,-5.93333 52.20765,0.13200 50.83333,0.13333 52.63220,1.28925 "
direct,"54.97328,-1.61396 "
chef,"52.6386,-1.13169 53.79648,-1.54785 53.79391,-1.75206 53.41058,-2.97794 53.41058,-2.97794 53.41058,-2.97794 51.48,-3.18 51.48,-3.18 55.95206,-3.19648 50.71936,-3.53271 50.71936,-3.53271 55.07216,-3.60218 55.45862,-4.62849 50.15201,-5.06654 52.20765,0.13200 50.83333,0.13333 "
elegant,"51.51279,-0.09184 "
tortillla,"53.79648,-1.54785 "
street,"52.6386,-1.13169 54.90465,-1.38222 53.38297,-1.4659 53.79648,-1.54785 54.77560,-1.58374 53.79391,-1.75206 52.48142,-1.89983 53.00415,-2.18538 51.48,-3.18 55.95206,-3.19648 55.95206,-3.19648 55.95206,-3.19648 50.71936,-3.53271 50.71936,-3.53271 55.07216,-3.60218 57.47908,-4.22398 57.47908,-4.22398 55.86515,-4.25763 55.86515,-4.25763 55.86515,-4.25763 55.45862,-4.62849 55.45862,-4.62849 50.15201,-5.06654 54.58333,-5.93333 "
safe,"53.79391,-1.75206 54.58333,-5.93333 "
mazaedar,"56.46913,-2.97489 "
colourful,"51.51279,-0.09184 54.58333,-5.93333 "
soave,"51.51279,-0.09184 "
phoned,"53.48095,-2.23743 "
blue,"51.51279,-0.09184 52.40656,-1.51217 52.40656,-1.51217 53.79391,-1.75206 54.89228,-2.93206 56.46913,-2.97489 53.41058,-2.97794 55.95206,-3.19648 50.15201,-5.06654 "
established,"53.79648,-1.54785 53.79391,-1.75206 53.00415,-2.18538 53.48095,-2.23743 50.15201,-5.06654 50.83333,0.13333 "
allergi,"53.79648,-1.54785 53.79391,-1.75206 56.46913,-2.97489 51.48,-3.18 55.95206,-3.19648 54.58333,-5.93333 "
seekh,"52.6386,-1.13169 52.6386,-1.13169 52.40656,-1.51217 53.79648,-1.54785 53.79648,-1.54785 54.77560,-1.58374 54.97328,-1.61396 54.97328,-1.61396 53.79391,-1.75206 53.79391,-1.75206 53.48095,-2.23743 56.46913,-2.97489 51.48,-3.18 "
cooking,"51.51279,-0.09184 53.7446,-0.33525 52.9536,-1.15047 52.9536,-1.15047 52.9536,-1.15047 52.9536,-1.15047 52.9536,-1.15047 54.57309,-1.23258 52.40656,-1.51217 53.79648,-1.54785 54.77560,-1.58374 54.97328,-1.61396 54.97328,-1.61396 53.79391,-1.75206 53.79391,-1.75206 53.79391,-1.75206 53.79391,-1.75206 53.79391,-1.75206 52.48142,-1.89983 52.48142,-1.89983 57.14369,-2.09814 53.00415,-2.18538 53.00415,-2.18538 54.89228,-2.93206 54.89228,-2.93206 54.89228,-2.93206 56.46913,-2.97489 56.46913,-2.97489 55.07216,-3.60218 55.07216,-3.60218 52.20765,0.13200 50.83333,0.13333 52.63220,1.28925 "
supplied,"53.79648,-1.54785 53.79391,-1.75206 53.79391,-1.75206 55.95206,-3.19648 54.58333,-5.93333 "
kent,"55.86515,-4.25763 "
wouldnt,"54.97328,-1.61396 "
ain,"55.07216,-3.60218 "
mogo,"52.6386,-1.13169 "
sheffield,"53.38297,-1.4659 53.38297,-1.4659 53.38297,-1.4659 53.38297,-1.4659 53.38297,-1.4659 "
supplier,"54.97328,-1.61396 53.79391,-1.75206 51.48,-3.18 55.95206,-3.19648 54.58333,-5.93333 "
new,"51.51279,-0.09184 51.51279,-0.09184 51.51279,-0.09184 53.7446,-0.33525 52.9536,-1.15047 52.9536,-1.15047 52.9536,-1.15047 52.9536,-1.15047 52.9536,-1.15047 52.9536,-1.15047 52.9536,-1.15047 54.57309,-1.23258 53.38297,-1.4659 52.40656,-1.51217 52.40656,-1.51217 53.79648,-1.54785 53.79648,-1.54785 53.79648,-1.54785 54.77560,-1.58374 54.97328,-1.61396 54.97328,-1.61396 54.97328,-1.61396 54.97328,-1.61396 53.79391,-1.75206 53.79391,-1.75206 53.79391,-1.75206 53.79391,-1.75206 53.79391,-1.75206 52.48142,-1.89983 52.48142,-1.89983 52.48142,-1.89983 57.14369,-2.09814 53.00415,-2.18538 53.00415,-2.18538 53.00415,-2.18538 53.48095,-2.23743 53.48095,-2.23743 53.48095,-2.23743 51.45523,-2.59665 51.45523,-2.59665 54.89228,-2.93206 54.89228,-2.93206 54.89228,-2.93206 56.46913,-2.97489 56.46913,-2.97489 56.46913,-2.97489 51.48,-3.18 50.71936,-3.53271 55.07216,-3.60218 55.07216,-3.60218 50.15201,-5.06654 54.58333,-5.93333 54.58333,-5.93333 54.58333,-5.93333 54.58333,-5.93333 54.58333,-5.93333 54.58333,-5.93333 52.20765,0.13200 52.20765,0.13200 52.63220,1.28925 52.63220,1.28925 "
zesty,"51.51279,-0.09184 53.79648,-1.54785 54.58333,-5.93333 "
ever,"51.51279,-0.09184 53.7446,-0.33525 53.7446,-0.33525 52.40656,-1.51217 53.79648,-1.54785 53.79648,-1.54785 54.77560,-1.58374 52.48142,-1.89983 53.48095,-2.23743 53.48095,-2.23743 53.41058,-2.97794 51.48,-3.18 51.48,-3.18 51.48,-3.18 55.95206,-3.19648 50.15201,-5.06654 54.58333,-5.93333 "
consisting,"51.51279,-0.09184 "
ribena,"52.9536,-1.15047 53.79391,-1.75206 53.79391,-1.75206 53.79391,-1.75206 52.48142,-1.89983 57.14369,-2.09814 54.89228,-2.93206 56.46913,-2.97489 56.46913,-2.97489 55.95206,-3.19648 55.95206,-3.19648 55.95206,-3.19648 55.95206,-3.19648 55.95206,-3.19648 55.95206,-3.19648 55.95206,-3.19648 50.83333,0.13333 "
med,"52.6386,-1.13169 52.48142,-1.89983 56.46913,-2.97489 51.48,-3.18 51.48,-3.18 51.48,-3.18 50.83333,0.13333 "
sugo,"55.95206,-3.19648 "
