word,regional
bru,"[0.5247248594154922, 0.4752751405845077]"
family meal,"[0.5283674471885798, 0.47163255281142014]"
burger meal,"[0.5326204015659177, 0.46737959843408206]"
mince,"[0.5355838315847941, 0.4644161684152059]"
chicken goujons,"[0.5407601750515579, 0.45923982494844195]"
privacy policy,"[0.5506139664148044, 0.4493860335851957]"
meat,"[0.5510943594283914, 0.4489056405716086]"
mozzarella cheese,"[0.5552129565178789, 0.444787043482121]"
store,"[0.5562530452139081, 0.443746954786092]"
potato wedges,"[0.5610467621535731, 0.4389532378464269]"
fries,"[0.5621236512857859, 0.4378763487142143]"
half pounder,"[0.5626289462277604, 0.4373710537722397]"
email,"[0.5630368405903984, 0.43696315940960173]"
kids cake,"[0.5705558839804334, 0.4294441160195664]"
jalapeno,"[0.57479371250121, 0.42520628749879]"
salt,"[0.5774630747173359, 0.42253692528266407]"
place,"[0.5780205060108762, 0.4219794939891239]"
orange l,"[0.5794917436907455, 0.4205082563092544]"
specials,"[0.5820232988801907, 0.4179767011198092]"
chicken pizza,"[0.5832778466334635, 0.4167221533665367]"
margherita pizza,"[0.5872736464073034, 0.4127263535926964]"
diet coke bottle,"[0.5877316966764964, 0.41226830332350356]"
jalapenos,"[0.5882584065191685, 0.4117415934808314]"
vegetable pakora,"[0.5885620346062139, 0.411437965393786]"
fish fingers,"[0.5931248743974127, 0.4068751256025875]"
nuts,"[0.5945474433477862, 0.4054525566522137]"
meat feast pizza,"[0.5953000444008971, 0.4046999555991029]"
plaice,"[0.5965121088877378, 0.4034878911122622]"
postcode,"[0.599934605046073, 0.400065394953927]"
jacket potatoes,"[0.6011320472075518, 0.3988679527924482]"
delivery mins,"[0.601748162866148, 0.39825183713385204]"
kids chicken nuggets,"[0.6043959022261404, 0.3956040977738597]"
potatoes,"[0.605345995599091, 0.3946540044009091]"
chilli sauce,"[0.6076168994405072, 0.3923831005594927]"
seafood,"[0.6088562931312065, 0.39114370686879346]"
side,"[0.6108861010396491, 0.3891138989603508]"
chicken tikka,"[0.6109538049636576, 0.38904619503634236]"
allergy,"[0.6194795043198678, 0.38052049568013224]"
loading,"[0.6195708035952038, 0.38042919640479644]"
latte,"[0.6213613717352006, 0.3786386282647993]"
chicken meal,"[0.6310342863753944, 0.36896571362460573]"
way,"[0.6323902969958125, 0.3676097030041875]"
olives,"[0.6350521502343365, 0.3649478497656635]"
chicken burger meal,"[0.6381904435349834, 0.3618095564650166]"
inch pizza,"[0.6384524904043102, 0.36154750959568993]"
health,"[0.6401480020841871, 0.3598519979158129]"
person,"[0.6405446643860273, 0.35945533561397264]"
kids sausage meal,"[0.644008764506044, 0.355991235493956]"
diet pepsi,"[0.6449373212138502, 0.35506267878614994]"
website,"[0.6512076541809166, 0.3487923458190834]"
tomato ketchup,"[0.6545346382807311, 0.3454653617192687]"
doner kebab,"[0.6582278486151203, 0.3417721513848798]"
understanding,"[0.658371759891195, 0.34162824010880494]"
terms,"[0.6604801132467376, 0.3395198867532623]"
conditions,"[0.6611616297782695, 0.3388383702217306]"
pounder burger,"[0.6646102628095866, 0.33538973719041343]"
information,"[0.6651367420520798, 0.33486325794792016]"
wrap,"[0.6656904095869306, 0.3343095904130694]"
quarter pounder,"[0.6663053945140645, 0.3336946054859355]"
discounts,"[0.6664233706856356, 0.33357662931436444]"
dish,"[0.6713727813435637, 0.3286272186564362]"
toy,"[0.671674946107917, 0.3283250538920831]"
fish burger,"[0.6815309727700009, 0.31846902722999904]"
salads,"[0.6869086182654568, 0.3130913817345434]"
donner calzone,"[0.6894230493667529, 0.310576950633247]"
l bottle,"[0.6907796872931502, 0.30922031270684974]"
collection,"[0.6909057440519581, 0.3090942559480421]"
pakora,"[0.6931784515939581, 0.3068215484060423]"
meat feast,"[0.695704938344102, 0.3042950616558981]"
donner wrap,"[0.6965257569972958, 0.30347424300270437]"
pitta,"[0.6975712705440922, 0.3024287294559078]"
title,"[0.6982550382423982, 0.3017449617576015]"
herbs,"[0.6995172069921551, 0.30048279300784486]"
wraps,"[0.7043951662902559, 0.29560483370974416]"
donner,"[0.7053938475487492, 0.29460615245125055]"
breadcrumbs,"[0.7064798126876084, 0.29352018731239155]"
donner burger,"[0.7092943969082801, 0.29070560309172]"
prices,"[0.7133667053847691, 0.28663329461523107]"
wings,"[0.7153068873104677, 0.2846931126895324]"
friday,"[0.715900795501593, 0.2840992044984071]"
onions,"[0.7181321997728966, 0.28186780022710356]"
tomato sauce,"[0.7182837087454649, 0.281716291254535]"
coke bottle,"[0.7185077966112796, 0.2814922033887205]"
pasta dishes,"[0.7193496004787031, 0.2806503995212969]"
inch,"[0.719772808178388, 0.28022719182161215]"
cheese salad,"[0.724488336759589, 0.2755116632404108]"
juice,"[0.7251693578332054, 0.27483064216679476]"
offers,"[0.7274871847610085, 0.27251281523899146]"
mozzarella,"[0.7277718686500549, 0.27222813134994506]"
lemonade,"[0.7305123119314235, 0.26948768806857637]"
gravy sauce,"[0.7325319875669563, 0.26746801243304386]"
donner pizza,"[0.7338260887330893, 0.26617391126691053]"
shop,"[0.7358694992088113, 0.26413050079118877]"
kids meals,"[0.7376716794939063, 0.2623283205060937]"
doner wrap,"[0.7378435216828978, 0.2621564783171021]"
chicken salad,"[0.7379046648685299, 0.26209533513147015]"
pieces,"[0.741183606987672, 0.25881639301232806]"
doner meat,"[0.7421700328816997, 0.2578299671183005]"
donner kebab,"[0.7430493757866664, 0.25695062421333387]"
who,"[0.744754024233811, 0.25524597576618907]"
pasta,"[0.7457359665039575, 0.2542640334960425]"
cappuccino,"[0.7467337840587742, 0.2532662159412259]"
king prawns,"[0.7502016470035313, 0.24979835299646871]"
inch chicken,"[0.7530508560380247, 0.2469491439619753]"
chicken tikka kebab,"[0.755818769375566, 0.24418123062443417]"
burger chips,"[0.756622456645197, 0.24337754335480302]"
pork,"[0.7574856930327014, 0.24251430696729873]"
pounder beef burger,"[0.7575152281741192, 0.2424847718258809]"
rice,"[0.7575270277850703, 0.2424729722149299]"
salmon,"[0.7577816117618329, 0.24221838823816697]"
chicken kebab,"[0.7579259180049496, 0.24207408199505043]"
starters,"[0.7597530842861273, 0.24024691571387274]"
deal,"[0.761897457507988, 0.23810254249201207]"
takeaway menu,"[0.7658751471835481, 0.2341248528164517]"
quarter pounder burger,"[0.7679161270804801, 0.23208387291952015]"
ltr bottle,"[0.7693404369468522, 0.23065956305314794]"
fish bar,"[0.7700396648298593, 0.22996033517014056]"
box,"[0.7747476030115796, 0.2252523969884205]"
pies,"[0.7779639893499188, 0.22203601065008102]"
bun,"[0.781264610925121, 0.21873538907487905]"
mineral water,"[0.7830074497078119, 0.21699255029218795]"
seasons,"[0.7831339946320702, 0.2168660053679296]"
ketchup,"[0.783214041349223, 0.21678595865077682]"
rights,"[0.7850714578437805, 0.21492854215621948]"
