word,cityNumber,word_central_lon,word_central_lat,radius,median,shopNumberLessThanMedian,shopNumberLargerThanMedian,largestDistance,avgDistance,word_ratio
you can,26,-2.0955985679258067,53.941048507687114,502431.9370879546,272890.39,32,19,737876.3,316442.21,0.45
pickled onion,26,-2.1850297245352475,53.72488173836604,643461.7742458414,427681.79,28,40,720071.85,371847.94,0.15
is a,26,-2.3852271843417445,53.69742235777999,591154.7257041817,401719.79,36,34,705766.87,340865.68,0.23
sauces,26,-2.240801065233478,53.69536212394822,559037.0288645324,250632.99,27,25,583373.1,299582.82,0.25
of chicken,26,-2.20479158946951,53.75750484173134,473759.42352265987,251439.08,36,25,767084.05,312599.15,0.3
mushroom,26,-2.3368633042493028,54.063925240751274,537127.7514117684,297864.54,22,37,698975.47,323492.79,0.25
haddock,26,-1.5660703792083512,52.62650210609933,608575.0342478713,295855.71,44,18,685503.61,304009.5,0.45
spicy chicken,26,-2.849294432923568,54.67633674475523,597077.0897620168,333553.44,41,21,861754.02,367441.06,0.18
fillet burger,26,-2.2107934613204985,53.36912605140397,606120.3273507511,308805.97,28,18,836703.47,327082.95,0.28
chicken fillet,26,-2.1902287007581966,53.60962059803927,692277.4710896995,248590.36,33,26,794134.83,313860.54,0.24
chips with,26,-2.256377565630807,53.906432024403266,501050.39213808277,267792.49,21,19,738578.7,320207.71,0.3
baked beans,26,-2.0429610707948425,53.21674082526279,564414.6217674648,338525.0,25,27,765521.07,327588.32,0.4
chicken tikka,25,-2.2291746115824784,53.96941750979524,494468.1081702243,276096.23,25,28,728139.37,315718.48,0.43
chips and,25,-2.0200931288903075,53.67345558416694,553494.0350105695,251931.22,37,32,788339.09,322019.96,0.43
large chips,25,-2.208856545618308,54.05362270042938,485311.1225311632,289532.77,35,28,775019.34,309159.33,0.37
your choice,25,-2.19438539276465,53.842603278705,605982.3497699704,254591.23,20,19,664015.62,324162.34,0.28
onion pie,25,-1.7046932180945873,53.06504775845328,451615.6237319092,263987.99,32,22,641894.43,254340.1,0.56
battered sausage,25,-2.003802844757847,52.96694722531768,532400.0163264119,314154.61,47,23,683321.67,302925.92,0.6
mushroom pie,25,-1.8447004250254686,52.73399828836189,424183.47637047427,271286.78,34,22,583668.05,269437.32,0.5
cod,25,-1.5355826110326523,52.47968251516904,570729.4667342908,269688.18,35,17,711192.57,304246.9,0.42
chips large,25,-2.518474360485451,53.90999873247832,591528.0094002694,300457.26,30,37,729825.91,342950.75,0.24
sunday,25,-2.636760510717728,53.80373089344733,569425.9232398492,395378.0,31,33,712872.97,354670.61,0.23
beans,25,-2.8329510294188687,54.44388470741389,552464.6192802159,307758.85,27,30,686533.09,316744.95,0.3
kids chicken,25,-2.6166168212171086,54.27727703770882,512125.9440606116,319626.92,26,34,568993.29,306543.03,0.33
bbq sauce,25,-2.4585201142253297,54.250096586614895,688337.7998391839,335452.9,29,27,688337.8,333174.57,0.39
large,25,-2.1413868351504846,53.75244708713741,536442.0401028937,299973.16,24,22,726875.01,325993.8,0.28
kidney pie,25,-1.7037689561200404,52.61217768375277,444714.88523888227,259433.73,35,23,576241.07,260814.3,0.48
of sauce,25,-2.3686392111252554,53.63651151366425,544819.4994370831,246524.26,21,20,783849.9,321369.45,0.24
steak,25,-1.6140978124323841,52.530550184352485,419429.5866094493,249954.09,41,26,571609.42,265808.93,0.49
kids fish,25,-2.2647353916371475,54.087245555764675,534456.1357026864,245585.22,23,33,651258.35,299003.51,0.36
